Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,rec_broken_tackles_per_rec,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2020,22,PHI,QB,15,4,63,354,25,285,4.5,69,1.1,4,15.8,1,1,3,0,-6,-6.0,9,9.0,-6.0,1,1.0,0,0.0,0,79.2,,Jalen Hurts,HurtJa00
2021,23,PHI,QB,15,15,139,784,57,642,4.6,142,1.0,9,15.4,1,0,0,0,0,,0,,3.0,0,,0,0.0,0,39.6,,Jalen Hurts,HurtJa00
2022,24,PHI,QB,15,15,165,760,70,627,3.8,133,0.8,8,20.6,0,0,0,0,0,,0,,,0,,0,,0,,"PB,AP-2,AP MVP-2,AP OPoY-3",Jalen Hurts,HurtJa00
2023,25,PHI,QB,17,17,157,605,68,485,3.1,120,0.8,3,52.3,0,0,0,0,0,,0,,,0,,0,,0,,PB,Jalen Hurts,HurtJa00
2024,26,PHI,QB,15,15,150,630,76,449,3.0,181,1.2,11,13.6,0,0,0,0,0,,0,,,0,,0,,0,,,Jalen Hurts,HurtJa00
2025,27,PHI,QB,16,16,105,421,40,347,3.3,74,0.7,3,35.0,0,0,0,0,0,,0,,,0,,0,,0,,PB,Jalen Hurts,HurtJa00
