Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2020,22,PHI,QB,15,4,1-3-0,77,148,52.0,1061,6,4.1,4,2.7,45,38.5,81,7.2,6.76,13.8,70.7,77.6,33.8,13,59,8.07,6.22,5.85,0,0,4,,Jalen Hurts,HurtJa00
2021,23,PHI,QB,15,15,8-7-0,265,432,61.3,3144,16,3.7,9,2.1,143,43.9,91,7.3,7.08,11.9,209.6,87.2,54.6,26,150,5.68,6.54,6.35,2,2,17,,Jalen Hurts,HurtJa00
2022,24,PHI,QB,15,15,14-1-0,306,460,66.5,3701,22,4.8,6,1.3,165,46.4,68,8.0,8.42,12.1,246.7,101.5,68.3,38,231,7.63,6.97,7.31,1,2,20,"PB,AP-2,AP MVP-2,AP OPoY-3",Jalen Hurts,HurtJa00
2023,25,PHI,QB,17,17,11-6-0,352,538,65.4,3858,23,4.3,15,2.8,185,46.7,63,7.2,6.77,11.0,226.9,89.1,60.9,36,222,6.27,6.33,5.96,3,4,18,PB,Jalen Hurts,HurtJa00
2024,26,PHI,QB,15,15,12-3-0,248,361,68.7,2903,18,5.0,5,1.4,139,46.6,67,8.0,8.42,11.7,193.5,103.7,62.5,38,271,9.52,6.60,6.93,3,4,16,,Jalen Hurts,HurtJa00
2025,27,PHI,QB,14,14,9-5-0,259,397,65.2,2929,22,5.5,6,1.5,133,43.4,79,7.4,7.81,11.3,209.2,99.4,54.6,29,172,6.81,6.47,6.87,1,1,,,Jalen Hurts,HurtJa00
