Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1989,21,DET,RB,15,13,280,1470,14,80,49.3,34,5.3,98.0,18.7,36,24,282,11.8,0,10,33.3,46,1.6,18.8,66.7,7.8,304,5.8,1752,14,10,14,"PB,AP-1,AP ORoY-1",Barry Sanders,SandBa00
1990,22,DET,RB,16,16,255,1304,13,71,53.3,45,5.1,81.5,15.9,49,36,480,13.3,3,20,49.0,47,2.3,30.0,73.5,9.8,291,6.1,1784,16,4,16,"PB,AP-1,AP OPoY-3",Barry Sanders,SandBa00
1991,23,DET,RB,15,15,342,1548,16,91,52.6,69,4.5,103.2,22.8,52,41,307,7.5,1,18,50.0,34,2.7,20.5,78.8,5.9,383,4.8,1855,17,5,15,"PB,AP-1,AP MVP-3,AP OPoY-3",Barry Sanders,SandBa00
1992,24,DET,RB,16,16,312,1352,9,68,43.6,55,4.3,84.5,19.5,41,29,225,7.8,1,7,39.0,48,1.8,14.1,70.7,5.5,341,4.6,1577,10,6,12,"PB,AP-2",Barry Sanders,SandBa00
1993,25,DET,RB,11,11,243,1115,3,46,42.4,42,4.6,101.4,22.1,49,36,205,5.7,0,6,32.7,17,3.3,18.6,73.5,4.2,279,4.7,1320,3,3,10,"PB,AP-2",Barry Sanders,SandBa00
1994,26,DET,RB,16,16,331,1883,7,72,44.7,85,5.7,117.7,20.7,65,44,283,6.4,1,16,32.3,22,2.8,17.7,67.7,4.4,375,5.8,2166,8,0,20,"PB,AP-1,AP MVP-2,AP OPoY-1",Barry Sanders,SandBa00
1995,27,DET,RB,16,16,314,1500,11,70,42.4,75,4.8,93.8,19.6,70,48,398,8.3,1,18,37.1,40,3.0,24.9,68.6,5.7,362,5.2,1898,12,3,16,"PB,AP-1,AP OPoY-5",Barry Sanders,SandBa00
1996,28,DET,RB,16,16,307,1553,11,79,50.2,54,5.1,97.1,19.2,32,24,147,6.1,0,5,37.5,28,1.5,9.2,75.0,4.6,331,5.1,1700,11,4,14,"PB,AP-2",Barry Sanders,SandBa00
1997,29,DET,RB,16,16,335,2053,11,85,45.4,82,6.1,128.3,20.9,50,33,305,9.2,3,11,42.0,66,2.1,19.1,66.0,6.1,368,6.4,2358,14,3,19,"PB,AP-1,AP MVP-1,AP OPoY-1",Barry Sanders,SandBa00
1998,30,DET,RB,16,16,343,1491,4,63,38.8,73,4.3,93.2,21.4,57,37,289,7.8,0,10,31.6,44,2.3,18.1,64.9,5.1,380,4.7,1780,4,3,13,"PB,AP-2",Barry Sanders,SandBa00
