Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,24,DAL,RB,29,10,10,469,70%,0,0%,0,0%,DeMarco Murray,MurrDe00
2015,27,PHI,RB,29,15,8,482,44%,0,0%,0,0%,DeMarco Murray,MurrDe00
2017,29,TEN,RB,29,15,15,647,68%,0,0%,0,0%,DeMarco Murray,MurrDe00
