Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2021,21,DEN,RB,33,17,1,551,51%,0,0%,4,1%,Javonte Williams,WillJa10
2022,22,DEN,RB,33,4,4,142,54%,0,0%,0,0%,Javonte Williams,WillJa10
2023,23,DEN,RB,33,16,13,493,49%,0,0%,0,0%,Javonte Williams,WillJa10
2024,24,DEN,RB,33,17,11,574,52%,0,0%,0,0%,Javonte Williams,WillJa10
2025,25,DAL,RB,33,16,16,769,68%,0,0%,0,0%,Javonte Williams,WillJa10
