Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID
2021,21,DEN,RB,17,1,203,903,52,443,2.2,460,2.3,31,6.5,53,43,316,12,-27,-0.6,343,8.0,-0.2,2,21.5,3,5.7,0,110.4,,Javonte Williams,WillJa10
2022,22,DEN,RB,4,4,47,204,9,94,2.0,110,2.3,6,7.8,22,16,76,4,-42,-2.6,118,7.4,-1.1,2,8.0,1,4.5,0,77.1,,Javonte Williams,WillJa10
2023,23,DEN,RB,16,13,217,774,41,402,1.9,372,1.7,11,19.7,58,47,228,10,-75,-1.6,303,6.4,-1.7,6,7.8,4,6.9,0,94.5,,Javonte Williams,WillJa10
2024,24,DEN,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,70,52,346,14,-49,-0.9,395,7.6,-0.3,4,13.0,7,10.0,0,84.6,,Javonte Williams,WillJa10
2025,25,DAL,RB,16,16,252,1201,67,574,2.3,627,2.5,25,10.1,51,35,137,7,-69,-2.0,206,5.9,-1.3,0,,0,0.0,0,84.8,,Javonte Williams,WillJa10
