Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2017,23,GNB,RB,33,12,4,236,31%,0,0%,32,10%,Aaron Jones,JoneAa00
2018,24,GNB,RB,33,12,8,376,48%,0,0%,19,6%,Aaron Jones,JoneAa00
2019,25,GNB,RB,33,16,16,663,62%,0,0%,0,0%,Aaron Jones,JoneAa00
2021,27,GNB,RB,33,15,15,578,58%,0,0%,4,1%,Aaron Jones,JoneAa00
2022,28,GNB,RB,33,17,17,630,58%,0,0%,3,1%,Aaron Jones,JoneAa00
2023,29,GNB,RB,33,11,11,354,49%,0,0%,0,0%,Aaron Jones,JoneAa00
2024,30,MIN,RB,33,17,17,700,63%,0,0%,0,0%,Aaron Jones,JoneAa00
2025,31,MIN,RB,33,12,12,366,55%,0,0%,0,0%,Aaron Jones,JoneAa00
