Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID
2018,24,GNB,RB,12,8,133,728,41,472,3.5,256,1.9,6,22.2,35,26,206,12,-15,-0.6,221,8.5,0.3,2,13.0,4,11.4,0,98.0,,Aaron Jones,JoneAa00
2019,25,GNB,RB,16,16,236,1084,55,569,2.4,515,2.2,32,7.4,68,49,474,18,41,0.8,433,8.8,2.8,10,4.9,2,2.9,0,105.9,,Aaron Jones,JoneAa00
2020,26,GNB,RB,14,14,201,1104,52,512,2.5,592,2.9,14,14.4,63,47,355,15,-10,-0.2,365,7.8,1.2,6,7.8,4,6.3,0,98.3,PB,Aaron Jones,JoneAa00
2021,27,GNB,RB,15,15,171,799,40,409,2.4,390,2.3,12,14.3,65,52,391,24,-21,-0.4,412,7.9,0.9,4,13.0,3,4.6,0,122.5,,Aaron Jones,JoneAa00
2022,28,GNB,RB,17,17,213,1121,54,645,3.0,476,2.2,13,16.4,72,59,395,19,-52,-0.9,447,7.6,0.2,1,59.0,6,8.3,0,112.7,,Aaron Jones,JoneAa00
2023,29,GNB,RB,11,11,142,656,43,337,2.4,319,2.2,11,12.9,43,30,233,14,-38,-1.3,271,9.0,-1.1,6,5.0,4,9.3,0,90.6,,Aaron Jones,JoneAa00
2024,30,MIN,RB,17,17,255,1138,50,614,2.4,524,2.1,11,23.2,62,51,408,20,-3,-0.1,411,8.1,0.9,1,51.0,2,3.2,1,98.1,,Aaron Jones,JoneAa00
2025,31,MIN,RB,12,12,132,548,28,314,2.4,234,1.8,5,26.4,41,28,199,9,-28,-1.0,227,8.1,-0.5,0,,2,4.9,0,87.3,,Aaron Jones,JoneAa00
