Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,26,NOR,TE,80,15,9,695,67%,0,0%,65,14%,Jimmy Graham,GrahJi00
2015,29,SEA,TE,88,11,11,569,78%,0,0%,15,5%,Jimmy Graham,GrahJi00
2018,32,GNB,TE,80,16,12,795,74%,0,0%,0,0%,Jimmy Graham,GrahJi00
2019,33,GNB,TE,80,16,10,622,58%,0,0%,4,1%,Jimmy Graham,GrahJi00
2020,34,CHI,TE,80,16,15,636,59%,0,0%,1,0%,Jimmy Graham,GrahJi00
2021,35,CHI,TE,80,15,6,263,27%,0,0%,1,0%,Jimmy Graham,GrahJi00
2023,37,NOR,TE,80,13,2,171,19%,0,0%,1,0%,Jimmy Graham,GrahJi00
