Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,32,GNB,TE,16,12,89,55,636,32,375,6.8,261,4.7,9.5,2,27.5,3,3.4,2,81.5,0,0,0,0,0,0,,Jimmy Graham,GrahJi00
2019,33,GNB,TE,16,10,60,38,447,23,204,5.4,243,6.4,8.9,2,19.0,2,3.3,0,102.6,0,0,0,0,0,0,,Jimmy Graham,GrahJi00
2020,34,CHI,TE,16,15,76,50,456,32,258,5.2,198,4.0,6.8,1,50.0,1,1.3,3,100.5,0,0,0,0,0,0,,Jimmy Graham,GrahJi00
2021,35,CHI,TE,15,6,23,14,167,10,112,8.0,55,3.9,8.0,0,,1,4.3,0,122.6,0,0,0,0,0,0,,Jimmy Graham,GrahJi00
2023,37,NOR,TE,13,2,7,6,39,6,36,6.0,3,0.5,6.0,0,,1,14.3,0,129.5,0,0,0,0,0,0,,Jimmy Graham,GrahJi00
