Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,29,CAR,RB,34,16,10,418,41%,0,0%,0,0%,DeAngelo Williams,WillDe02
2013,30,CAR,RB,34,15,15,470,49%,0,0%,0,0%,DeAngelo Williams,WillDe02
2014,31,CAR,RB,34,6,6,135,33%,0,0%,0,0%,DeAngelo Williams,WillDe02
2015,32,PIT,RB,34,16,10,701,65%,0,0%,3,1%,DeAngelo Williams,WillDe02
2016,33,PIT,RB,34,9,4,271,46%,0,0%,2,1%,DeAngelo Williams,WillDe02
