Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2019,22,OAK,TE,13,7,25,21,174,8.3,5,14,68.0,23,1.6,13.4,84.0,7.0,0,0,0,0,0.0,0.0,21,8.3,174,5,0,1,,Foster Moreau,MoreFo00
2020,23,LVR,TE,16,2,9,7,140,20.0,2,5,77.8,47,0.4,8.8,77.8,15.6,0,0,0,0,0.0,0.0,7,20.0,140,2,0,1,,Foster Moreau,MoreFo00
2021,24,LVR,TE,17,11,44,30,373,12.4,3,16,52.3,44,1.8,21.9,68.2,8.5,0,0,0,0,0.0,0.0,30,12.4,373,3,1,3,,Foster Moreau,MoreFo00
2022,25,LVR,TE,15,14,54,33,420,12.7,2,24,51.9,33,2.2,28.0,61.1,7.8,0,2,0,0,0.1,0.0,33,12.8,422,2,1,4,,Foster Moreau,MoreFo00
2023,26,NOR,TE,15,10,25,21,193,9.2,1,9,60.0,23,1.4,12.9,84.0,7.7,0,0,0,0,0.0,0.0,21,9.2,193,1,0,2,,Foster Moreau,MoreFo00
2024,27,NOR,TE,17,17,43,32,413,12.9,5,21,60.5,41,1.9,24.3,74.4,9.6,0,0,0,0,0.0,0.0,32,12.9,413,5,0,3,,Foster Moreau,MoreFo00
2025,28,NOR,TE,11,9,10,7,59,8.4,0,2,60.0,16,0.6,5.4,70.0,5.9,0,0,0,0,0.0,0.0,7,8.4,59,0,0,0,,Foster Moreau,MoreFo00
