Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2022,21,NYJ,RB,20,7,2,233,49%,0,0%,0,0%,Breece Hall,HallBr03
2023,22,NYJ,RB,20,17,16,667,61%,0,0%,0,0%,Breece Hall,HallBr03
2024,23,NYJ,RB,20,16,16,720,72%,0,0%,0,0%,Breece Hall,HallBr03
2025,24,NYJ,RB,20,16,16,640,64%,0,0%,1,0%,Breece Hall,HallBr03
