Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,29,KAN,RB,25,5,5,263,78%,0,0%,0,0%,Jamaal Charles,CharJa00
2016,30,KAN,RB,25,3,0,27,14%,0,0%,0,0%,Jamaal Charles,CharJa00
2017,31,DEN,RB,28,14,0,206,21%,0,0%,0,0%,Jamaal Charles,CharJa00
2018,32,JAX,RB,31,2,0,20,17%,0,0%,0,0%,Jamaal Charles,CharJa00
