Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2020,21,DET,NFL,RB,13,4,114,521,8,31,54.4,54,4.6,40.1,8.8,57,46,357,7.8,2,15,47.4,26,3.5,27.5,80.7,6.3,160,5.5,878,10,3,6,,D'Andre Swift,SwifDA00
2021,22,DET,NFL,RB,13,4,151,617,5,28,36.4,57,4.1,47.5,11.6,78,62,452,7.3,2,18,48.7,63,4.8,34.8,79.5,5.8,213,5.0,1069,7,2,7,,D'Andre Swift,SwifDA00
2022,23,DET,NFL,RB,14,8,99,542,5,21,47.5,50,5.5,38.7,7.1,70,48,389,8.1,3,17,38.6,25,3.4,27.8,68.6,5.6,147,6.3,931,8,1,8,,D'Andre Swift,SwifDA00
2023,24,PHI,NFL,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,14.3,49,39,214,5.5,1,8,42.9,20,2.4,13.4,79.6,4.4,268,4.7,1263,6,3,10,,D'Andre Swift,SwifDA00
2024,25,CHI,NFL,RB,17,17,253,959,6,43,43.9,56,3.8,56.4,14.9,52,42,386,9.2,0,12,51.9,42,2.5,22.7,80.8,7.4,295,4.6,1345,6,2,8,,D'Andre Swift,SwifDA00
2025,26,CHI,NFL,RB,16,16,223,1087,9,62,54.7,25,4.9,67.9,13.9,48,34,299,8.8,1,11,37.5,55,2.1,18.7,70.8,6.2,257,5.4,1386,10,2,10,,D'Andre Swift,SwifDA00
