Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2020,21,DET,RB,32,13,4,398,,0,,36,,D'Andre Swift,SwifDA00
2021,22,DET,RB,32,13,4,560,,0,,0,,D'Andre Swift,SwifDA00
2022,23,DET,RB,32,14,8,393,,0,,0,,D'Andre Swift,SwifDA00
2023*,24,PHI,RB,0,16,15,630,,0,,0,,D'Andre Swift,SwifDA00
2024,25,CHI,RB,4,17,17,751,,0,,0,,D'Andre Swift,SwifDA00
2025,26,CHI,RB,4,13,13,515,,0,,0,,D'Andre Swift,SwifDA00
