Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,safety_md,Awards,Player,PlayerID
1988,25,CHI,QB,10,2,0,0,0,0,,0,1,0,-1,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1989,26,CHI,QB,12,5,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1990,27,CHI,QB,14,14,0,0,0,0,,0,8,3,-4,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1991,28,CHI,QB,16,16,0,0,0,0,,0,6,0,-3,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1992,29,CHI,QB,16,13,0,0,0,0,,0,6,3,0,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1993,30,CHI,QB,15,15,0,0,0,0,,0,15,4,-1,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1994,31,IND,QB,12,9,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1995,32,IND,QB,15,12,0,0,0,0,,0,4,1,-20,0,0.0,0,0,0,,0,"PB,AP MVP-4",Jim Harbaugh,HarbJi00
1996,33,IND,QB,14,14,0,0,0,0,,0,8,4,-3,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1997,34,IND,QB,12,11,0,0,0,0,,0,4,1,0,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1998,35,BAL,QB,14,12,0,0,0,0,,0,7,3,-7,0,0.0,0,0,0,,0,,Jim Harbaugh,HarbJi00
1999,36,SDG,QB,14,12,0,0,0,0,0,0,12,4,-20,0,0.0,0,0,0,0,0,,Jim Harbaugh,HarbJi00
2000,37,SDG,QB,7,5,0,0,0,0,0,0,5,1,-5,0,0.0,0,0,0,0,0,,Jim Harbaugh,HarbJi00
