Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,34,GNB,TE,16,4,4,3,39,1,8,2.7,31,10.3,1.3,0,,0,0.0,0,105.2,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2019,35,GNB,TE,16,11,19,15,156,8,74,4.9,82,5.5,5.7,0,,0,0.0,0,118.4,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2020,36,GNB,TE,15,15,17,10,107,6,50,5.0,57,5.7,6.5,0,,4,23.5,0,116.9,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2021,37,GNB,TE,17,17,28,23,214,10,70,3.0,144,6.3,3.7,5,4.6,0,0.0,0,98.5,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2022,38,GNB,TE,17,17,7,6,66,5,52,8.7,14,2.3,8.3,0,,1,14.3,0,145.5,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2023,39,CHI,TE,17,4,5,4,29,2,0,0.0,29,7.3,1.8,0,,0,0.0,0,130.4,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2024,40,CHI,TE,17,4,2,1,2,1,1,1.0,1,1.0,7.0,0,,0,0.0,0,56.2,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
2025,41,DEN,TE,5,1,0,0,0,0,0,,0,,,0,,0,,0,,0,0,0,0,0,0,,Marcedes Lewis,LewiMa00
