Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,AV,Awards,Player,PlayerID
2017,23,NYG,TE,15,11,115,64,722,11.3,6,37,44.3,35,4.3,48.1,55.7,6.3,1,14,0,1,100.0,14,14.0,0.9,0.1,65,11.3,736,6,0,5,,Evan Engram,EngrEv00
2018,24,NYG,TE,11,8,64,45,577,12.8,3,22,43.8,54,4.1,52.5,70.3,9.0,3,36,0,3,100.0,14,12.0,3.3,0.3,48,12.8,613,3,0,5,,Evan Engram,EngrEv00
2019,25,NYG,TE,8,6,68,44,467,10.6,3,23,41.2,75,5.5,58.4,64.7,6.9,3,7,0,0,66.7,5,2.3,0.9,0.4,47,10.1,474,3,0,4,,Evan Engram,EngrEv00
2020,26,NYG,TE,16,14,109,63,654,10.4,1,31,38.5,53,3.9,40.9,57.8,6.0,6,26,1,1,83.3,9,4.3,1.6,0.4,69,9.9,680,2,1,5,PB,Evan Engram,EngrEv00
2021,27,NYG,TE,15,12,73,46,408,8.9,3,21,41.1,30,3.1,27.2,63.0,5.6,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,47,8.6,405,3,1,3,,Evan Engram,EngrEv00
2022,28,JAX,TE,17,14,98,73,766,10.5,4,33,55.1,36,4.3,45.1,74.5,7.8,2,13,0,1,50.0,13,6.5,0.8,0.1,75,10.4,779,4,0,7,,Evan Engram,EngrEv00
2023,29,JAX,TE,17,15,143,114,963,8.4,4,47,53.1,34,6.7,56.6,79.7,6.7,0,0,0,0,,,,0.0,0.0,114,8.4,963,4,3,8,PB,Evan Engram,EngrEv00
2024,30,JAX,TE,9,9,64,47,365,7.8,1,17,45.3,24,5.2,40.6,73.4,5.7,0,0,0,0,,,,0.0,0.0,47,7.8,365,1,1,3,,Evan Engram,EngrEv00
2025,31,DEN,TE,16,2,76,50,461,9.2,1,19,43.4,41,3.1,28.8,65.8,6.1,1,7,0,0,100.0,7,7.0,0.4,0.1,51,9.2,468,1,0,4,,Evan Engram,EngrEv00
