Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2025,31,DEN,TE,1.0,16,2,458,,0,,0,,Evan Engram,EngrEv00
2017,24,SFO,TE,85.0,15,7,592,,0,,6,,George Kittle,KittGe00
2018*,25,SFO,TE,85.0,16,16,929,,0,,1,,George Kittle,KittGe00
2019*+,26,SFO,TE,85.0,14,14,804,,0,,2,,George Kittle,KittGe00
2020,27,SFO,TE,85.0,8,8,443,,0,,1,,George Kittle,KittGe00
2021*,28,SFO,TE,85.0,14,14,840,,0,,5,,George Kittle,KittGe00
2022*,29,SFO,TE,85.0,15,15,859,,0,,3,,George Kittle,KittGe00
2023*+,30,SFO,TE,85.0,16,16,895,,0,,2,,George Kittle,KittGe00
2024*,31,SFO,TE,85.0,15,15,808,,0,,0,,George Kittle,KittGe00
2025*,32,SFO,TE,85.0,11,11,554,,0,,0,,George Kittle,KittGe00
2022,22,DEN,TE,80.0,10,6,497,,0,,0,,Greg Dulcich,DulcGr00
2023,23,DEN,TE,80.0,2,1,32,,0,,0,,Greg Dulcich,DulcGr00
2024,24,2TM,,,9,3,147,,0,,20,,Greg Dulcich,DulcGr00
2025,25,MIA,TE,85.0,10,3,245,,0,,52,,Greg Dulcich,DulcGr00
2018,25,BAL,TE,81.0,12,0,275,,0,,31,,Hayden Hurst,HursHa00
2019,26,BAL,TE,81.0,16,4,457,,0,,45,,Hayden Hurst,HursHa00
2020,27,ATL,TE,81.0,16,9,786,,0,,19,,Hayden Hurst,HursHa00
2021,28,ATL,TE,81.0,13,5,410,,0,,9,,Hayden Hurst,HursHa00
2022,29,CIN,TE,88.0,13,13,545,,0,,61,,Hayden Hurst,HursHa00
2023,30,CAR,TE,81.0,9,8,318,,0,,25,,Hayden Hurst,HursHa00
2024,31,LAC,TE,88.0,9,2,174,,0,,0,,Hayden Hurst,HursHa00
2016,22,SDG,TE,86.0,15,10,573,,0,,64,,Hunter Henry,HenrHu00
2017,23,LAC,TE,86.0,14,13,598,,0,,23,,Hunter Henry,HenrHu00
2019,25,LAC,TE,86.0,12,12,614,,0,,2,,Hunter Henry,HenrHu00
2020,26,LAC,TE,86.0,14,14,913,,0,,15,,Hunter Henry,HenrHu00
2021,27,NWE,TE,85.0,17,10,750,,0,,45,,Hunter Henry,HenrHu00
2022,28,NWE,TE,85.0,17,14,797,,0,,24,,Hunter Henry,HenrHu00
2023,29,NWE,TE,85.0,14,10,664,,0,,6,,Hunter Henry,HenrHu00
2024,30,NWE,TE,85.0,16,16,835,,0,,0,,Hunter Henry,HenrHu00
2025,31,NWE,TE,85.0,17,17,869,,0,,9,,Hunter Henry,HenrHu00
2018,22,CAR,TE,80.0,16,6,526,,0,,107,,Ian Thomas,ThomIa00
2019,23,CAR,TE,80.0,16,3,302,,0,,39,,Ian Thomas,ThomIa00
2020,24,CAR,TE,80.0,16,8,672,,0,,19,,Ian Thomas,ThomIa00
2021,25,CAR,TE,80.0,17,13,703,,0,,48,,Ian Thomas,ThomIa00
2022,26,CAR,TE,80.0,17,17,556,,0,,169,,Ian Thomas,ThomIa00
2023,27,CAR,TE,80.0,12,5,216,,0,,105,,Ian Thomas,ThomIa00
2024,28,CAR,TE,80.0,5,2,94,,0,,9,,Ian Thomas,ThomIa00
2025,29,LVR,TE,80.0,15,10,318,,0,,96,,Ian Thomas,ThomIa00
2017,22,TEN,TE,81.0,16,13,552,,0,,99,,Jonnu Smith,SmitJo01
2018,23,TEN,TE,81.0,13,12,611,,0,,43,,Jonnu Smith,SmitJo01
2019,24,TEN,TE,81.0,16,14,701,,0,,65,,Jonnu Smith,SmitJo01
2020,25,TEN,TE,81.0,15,14,745,,0,,12,,Jonnu Smith,SmitJo01
2021,26,NWE,TE,81.0,16,11,526,,0,,10,,Jonnu Smith,SmitJo01
2022,27,NWE,TE,81.0,14,8,423,,0,,54,,Jonnu Smith,SmitJo01
2023,28,ATL,TE,81.0,17,6,653,,0,,0,,Jonnu Smith,SmitJo01
2024*,29,MIA,TE,9.0,17,6,626,,0,,1,,Jonnu Smith,SmitJo01
2025,30,PIT,TE,81.0,17,7,536,,0,,4,,Jonnu Smith,SmitJo01
2021*,21,ATL,TE,8.0,17,15,774,,0,,0,,Kyle Pitts,PittKy00
2022,22,ATL,TE,8.0,10,10,434,,0,,0,,Kyle Pitts,PittKy00
2023,23,ATL,TE,8.0,17,15,728,,0,,0,,Kyle Pitts,PittKy00
2024,24,ATL,TE,8.0,17,15,707,,0,,1,,Kyle Pitts,PittKy00
2025,25,ATL,TE,8.0,17,17,961,,0,,2,,Kyle Pitts,PittKy00
2018,23,BAL,TE,89.0,16,3,414,,0,,81,,Mark Andrews,AndrMa00
2019*,24,BAL,TE,89.0,15,4,456,,0,,78,,Mark Andrews,AndrMa00
2020,25,BAL,TE,89.0,14,2,597,,0,,6,,Mark Andrews,AndrMa00
2021*+,26,BAL,TE,89.0,17,9,936,,0,,0,,Mark Andrews,AndrMa00
2022*,27,BAL,TE,89.0,15,15,787,,0,,2,,Mark Andrews,AndrMa00
2023,28,BAL,TE,89.0,10,9,467,,0,,4,,Mark Andrews,AndrMa00
2024,29,BAL,TE,89.0,17,13,682,,0,,6,,Mark Andrews,AndrMa00
2025,30,BAL,TE,89.0,17,11,631,,0,,0,,Mark Andrews,AndrMa00
2021,23,PIT,TE,88.0,16,9,683,,0,,41,,Pat Freiermuth,FreiPa00
2022,24,PIT,TE,88.0,16,8,743,,0,,13,,Pat Freiermuth,FreiPa00
2023,25,PIT,TE,88.0,12,9,474,,0,,43,,Pat Freiermuth,FreiPa00
2024,26,PIT,TE,88.0,17,11,776,,0,,81,,Pat Freiermuth,FreiPa00
2025,27,PIT,TE,88.0,17,8,522,,0,,32,,Pat Freiermuth,FreiPa00
2023*,22,DET,TE,87.0,17,14,981,,0,,12,,Sam LaPorta,LaPoSa01
2024,23,DET,TE,87.0,16,16,910,,0,,2,,Sam LaPorta,LaPoSa01
2025,24,DET,TE,87.0,9,9,517,,0,,5,,Sam LaPorta,LaPoSa01
2019,22,DET,TE,88.0,12,7,525,,0,,2,,T.J. Hockenson,HockTJ00
2020*,23,DET,TE,88.0,16,16,766,,0,,1,,T.J. Hockenson,HockTJ00
2021,24,DET,TE,88.0,12,12,658,,0,,0,,T.J. Hockenson,HockTJ00
2022*,25,2TM,TE,,17,14,987,,0,,0,,T.J. Hockenson,HockTJ00
2023,26,MIN,TE,87.0,15,11,790,,0,,0,,T.J. Hockenson,HockTJ00
2024,27,MIN,TE,87.0,10,9,423,,0,,3,,T.J. Hockenson,HockTJ00
2025,28,MIN,TE,87.0,15,15,691,,0,,1,,T.J. Hockenson,HockTJ00
2013,24,KAN,TE,87.0,1,0,0,,0,,1,,Travis Kelce,KelcTr00
2014,25,KAN,TE,87.0,16,11,668,,0,,69,,Travis Kelce,KelcTr00
2015*,26,KAN,TE,87.0,16,16,923,,0,,78,,Travis Kelce,KelcTr00
2016*+,27,KAN,TE,87.0,16,15,886,,0,,14,,Travis Kelce,KelcTr00
2017*,28,KAN,TE,87.0,15,15,872,,1,,0,,Travis Kelce,KelcTr00
2018*+,29,KAN,TE,87.0,16,16,993,,0,,0,,Travis Kelce,KelcTr00
2019*,30,KAN,TE,87.0,16,16,971,,1,,0,,Travis Kelce,KelcTr00
2020*+,31,KAN,TE,87.0,15,15,899,,1,,0,,Travis Kelce,KelcTr00
2021*,32,KAN,TE,87.0,16,16,926,,0,,0,,Travis Kelce,KelcTr00
2022*+,33,KAN,TE,87.0,17,17,914,,0,,0,,Travis Kelce,KelcTr00
2023*,34,KAN,TE,87.0,15,15,775,,2,,0,,Travis Kelce,KelcTr00
2024*,35,KAN,TE,87.0,16,16,940,,0,,0,,Travis Kelce,KelcTr00
2025*,36,KAN,TE,87.0,17,17,902,,0,,0,,Travis Kelce,KelcTr00
2023,23,GNB,TE,85.0,17,8,621,,0,,194,,Tucker Kraft,KrafTu00
2024,24,GNB,TE,85.0,17,17,925,,0,,130,,Tucker Kraft,KrafTu00
2025,25,GNB,TE,85.0,8,8,439,,0,,15,,Tucker Kraft,KrafTu00
2016,23,LAR,TE,89.0,16,7,403,,0,,20,,Tyler Higbee,HigbTy00
2017,24,LAR,TE,89.0,16,16,730,,0,,131,,Tyler Higbee,HigbTy00
2018,25,LAR,TE,89.0,16,16,788,,0,,50,,Tyler Higbee,HigbTy00
