Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2000,23,MIN,QB,16,16,129,128,128,128,118,136,99,102,128,PB,Daunte Culpepper,CulpDa00
2001,24,MIN,QB,11,11,108,104,103,101,118,99,94,91,106,,Daunte Culpepper,CulpDa00
2002,25,MIN,QB,16,16,107,104,96,95,105,90,83,90,94,,Daunte Culpepper,CulpDa00
2003,26,MIN,QB,14,14,116,113,119,117,118,117,113,93,120,"PB,AP CPoY-8",Daunte Culpepper,CulpDa00
2004,27,MIN,QB,16,16,131,126,135,132,133,136,120,92,138,"PB,AP OPoY-2",Daunte Culpepper,CulpDa00
2005,28,MIN,QB,7,7,106,94,88,82,115,85,59,63,88,,Daunte Culpepper,CulpDa00
2006,29,MIA,QB,4,4,102,83,100,88,101,71,114,55,95,,Daunte Culpepper,CulpDa00
2007,30,OAK,QB,7,6,106,95,102,96,91,85,105,75,94,,Daunte Culpepper,CulpDa00
2008,31,DET,QB,5,5,98,87,85,80,71,93,68,66,77,,Daunte Culpepper,CulpDa00
2009,32,DET,QB,8,5,82,77,78,75,86,73,87,83,77,,Daunte Culpepper,CulpDa00
