Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2022,22,DEN,TE,80,10,6,497,75%,0,0%,0,0%,Greg Dulcich,DulcGr00
2023,23,DEN,TE,80,2,1,32,28%,0,0%,0,0%,Greg Dulcich,DulcGr00
2024,24,2TM,,,9,3,147,,0,,20,,Greg Dulcich,DulcGr00
2025,25,MIA,TE,85,10,3,245,42%,0,0%,52,21%,Greg Dulcich,DulcGr00
