Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,33,DAL,TE,82,16,16,1020,99%,0,0%,59,14%,Jason Witten,WittJa00
2016,34,DAL,TE,82,16,16,1016,96%,0,0%,84,19%,Jason Witten,WittJa00
2019,37,DAL,TE,82,16,16,845,75%,0,0%,91,21%,Jason Witten,WittJa00
2020,38,LVR,TE,82,16,7,405,37%,0,0%,36,8%,Jason Witten,WittJa00
