Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2019,37,DAL,TE,16,16,83,63,529,27,367,5.8,162,2.6,6.6,0,6,7.2,0,108.0,0,0,0,0,0,0,,Jason Witten,WittJa00
2020,38,LVR,TE,16,7,17,13,69,8,49,3.8,20,1.5,5.4,0,0,0.0,0,121.9,0,0,0,0,0,0,,Jason Witten,WittJa00
