Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,33,BAL,QB,9,9,19,45,10,36,1.9,9,0.5,0,0,0,0,0,0,0,0,0,0,,Joe Flacco,FlacJo00
2019,34,DEN,QB,8,8,12,20,4,16,1.3,4,0.3,0,0,0,0,0,0,0,0,0,0,,Joe Flacco,FlacJo00
2020,35,NYJ,QB,5,4,6,22,3,21,3.5,1,0.2,0,0,0,0,0,0,0,0,0,0,,Joe Flacco,FlacJo00
2021,36,NYJ,QB,2,1,2,3,1,1,0.5,2,1.0,0,0,0,0,0,0,0,0,0,0,,Joe Flacco,FlacJo00
2022,37,NYJ,QB,5,4,3,6,1,6,2.0,0,0.0,0,0,0,-3,0,-3,0,0,0,0,,Joe Flacco,FlacJo00
2023,38,CLE,QB,5,5,9,2,5,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,AP CPoY-1,Joe Flacco,FlacJo00
2024,39,IND,QB,8,6,9,26,2,24,2.7,2,0.2,0,0,0,0,0,0,0,0,0,0,,Joe Flacco,FlacJo00
2025,40,2TM,QB,13,10,21,35,9,31,1.5,4,0.2,0,0,0,0,0,0,0,0,0,0,PB,Joe Flacco,FlacJo00
