receiver_player_id,receiver_player_name,season,games_played,posteam,targets,receptions,receiving_yards,air_yards,yac,tds,red_zone_targets,end_zone_targets,third_down_targets,fourth_down_targets,high_leverage_targets,explosive_plays,first_downs,second_and_long_targets,third_and_medium_targets,lost_yards_due_to_penalty,yards_Q1,yards_Q2,yards_Q3,yards_Q4,receptions_Q1,receptions_Q2,receptions_Q3,receptions_Q4,targets_Q1,targets_Q2,targets_Q3,targets_Q4,yards_wp_<25,yards_wp_25_45,yards_wp_45_55,yards_wp_55_75,yards_wp_>75,yards_wp_NA,receptions_wp_<25,receptions_wp_25_45,receptions_wp_45_55,receptions_wp_55_75,receptions_wp_>75,receptions_wp_NA,targets_wp_<25,targets_wp_25_45,targets_wp_45_55,targets_wp_55_75,targets_wp_>75,targets_wp_NA,epa,wpa,avg_depth,catch_rate,team_pass_attempts,team_air_yards,team_epa,air_yard_share,target_share,yards_per_target,def_targets_dev,def_receptions_dev,def_yards_dev,def_tds_dev,def_epa_dev,qb_completions,qb_attempts,qb_air_yards,qb_cpoe,qb_comp_pct,avg_score_diff,avg_quarter,adot,yac_per_reception,td_rate,trailing_pct,leading_pct,wp_var,target_share_std,temp_f,humidity_pct,wind_mph,success_rate,big_play_rate,reception_std,avg_start_yardline,avg_target_depth_vs_qb,pregame_spread,pregame_total,passer_player_id,surface,is_dome,is_rain,is_snow,is_clear,defteam,home_team,away_team
00-0021547,A.Gates,2018,16,16,48.0,28.0,333.0,356.0,126.0,2.0,12,0,22,0,32,5.0,19.0,3.0,11.0,0.0,81.0,115.0,52.0,85.0,6.0,8.0,6.0,8.0,10.0,15.0,9.0,14.0,126.0,32.0,5.0,60.0,110.0,0,10.0,3.0,1.0,4.0,10.0,0,17,5,1,8,17,0,0.36233691915058763,0.014151357857655828,7.3288690476190474,0.5238095238095238,30.9375,241.625,7.996089021363576,0.11023426831403814,0.10144948975768125,6.146577380952381,1.000879938312158,0.9843136116590472,0.9962699772720882,1.0346718817833926,1.0528231504265744,21.6875,31.875,7.89516781375917,3.6702785699695157,0.6826011579838396,11.012202380952381,2.527827380952381,6.9069940476190474,3.178125,0.024553571428571425,0.0,0.8441964285714285,0.020320228398954317,0.0555769283553321,66.4375,57.0625,6.625,0.5706845238095238,0.05848214285714286,3.49153489800113,44.59553571428572,0.12600892616756995,3.71875,47.53125,00-0022942,2.0625,0.0,0.0,0.0,1.0,14.0,15.875,16.125
00-0022044,A.Johnson,2015,16,4,70.0,36.0,446.0,701.0,133.0,3.0,12,0,14,2,42,7.0,32.0,20.0,3.0,0.0,99.0,154.0,66.0,184.0,8.0,11.0,9.0,13.0,14.0,18.0,18.0,28.0,226.0,69.0,19.0,144.0,45.0,0,19.0,5.0,2.0,11.0,4.0,0,32,12,6,18,10,0,0.49003424720501654,-0.0049968571413680374,9.853571428571428,0.4947510822510822,36.8125,336.0625,3.338267910141712,0.14123567942835719,0.13486890818067088,6.347747564935065,1.0012149689944918,0.9932760357867606,0.9940260443051518,1.057412878492154,1.0302374621836698,20.8125,35.25,8.373170754835655,-4.032947289219834,0.5920869872486453,9.46765422077922,2.7435335497835496,9.805844155844156,3.5104166666666665,0.025669642857142856,0.0,0.7749120670995671,0.023740214689284618,0.0934606228556689,54.6875,59.375,7.625,0.47600108225108223,0.09077380952380952,4.451572035772739,58.41256764069264,1.5361083456934461,2.21875,45.65625,00-0029668,3.1875,0.0625,0.0625,0.0,0.9375,17.875,14.3125,17.5625
00-0022044,A.Johnson,2016,6,21,23.0,9.0,85.0,268.0,15.0,2.0,3,0,9,2,12,1.0,4.0,3.0,3.0,0.0,0.0,5.0,64.0,16.0,0.0,1.0,6.0,2.0,4.0,4.0,8.0,7.0,7.0,42.0,5.0,23.0,8.0,0,1.0,4.0,1.0,2.0,1.0,0,8,8,2,3,2,0,-0.360771061277688,0.005883108311268701,11.60436507936508,0.33809523809523806,33.333333333333336,308.8333333333333,6.339450554023276,0.17667795979895162,0.12691845191845189,3.105952380952381,0.9687549809033831,0.9729270056899587,0.9678078580249352,1.0690965842162143,0.9489063299534929,20.333333333333332,33.333333333333336,9.138255376060254,-1.4202562351203085,0.6096079846079846,9.573015873015873,2.636111111111111,11.60436507936508,0.8333333333333334,0.125,0.0,0.8511904761904763,0.037696138797978576,0.0637799848136794,78.5,52.833333333333336,6.0,0.33809523809523806,0.03333333333333333,2.521287073695488,47.71031746031746,2.4661097033048254,2.0833333333333335,44.666666666666664,00-0032268,2.6666666666666665,0.16666666666666666,0.0,0.0,1.0,16.0,22.833333333333332,24.166666666666668
00-0022084,A.Boldin,2015,14,21,112.0,69.0,789.0,894.0,282.0,4.0,20,0,35,2,56,10.0,36.0,20.0,6.0,0.0,106.0,163.0,230.0,290.0,14.0,22.0,13.0,20.0,23.0,27.0,19.0,43.0,511.0,128.0,45.0,55.0,50.0,0,45.0,15.0,4.0,2.0,3.0,0,69,22,6,9,6,0,0.01676452443682286,-0.041451796158169185,7.97763109905967,0.6315464297607154,34.142857142857146,304.2142857142857,9.244168293848912,0.22141936714976268,0.24521240364512384,6.942651990866277,0.9886833557987057,0.9936748858473855,0.984986463237196,0.92789854710904,0.8901644304964693,20.5,32.857142857142854,7.5460258945012955,-3.024165903243241,0.6135281911559707,5.954560915275201,2.7373727463013178,7.922075543504115,3.8553571428571423,0.029166666666666667,0.0,0.6228699871557015,0.021909017265634136,0.09669220076553568,57.214285714285715,52.857142857142854,4.785714285714286,0.6011892869035727,0.08180272108843537,8.056328482113557,55.53479199372056,0.43160520455837525,1.0714285714285714,43.107142857142854,00-0027974,2.4285714285714284,0.07142857142857142,0.0,0.0,1.0,12.642857142857142,22.0,19.642857142857142
00-0022084,A.Boldin,2016,16,11,95.0,67.0,584.0,546.0,231.0,8.0,23,0,36,2,29,5.0,41.0,14.0,13.0,0.0,142.0,143.0,114.0,185.0,18.0,18.0,16.0,15.0,27.0,25.0,23.0,20.0,103.0,151.0,60.0,159.0,111.0,0,13.0,13.0,8.0,22.0,11.0,0,19,16,14,28,18,0,1.7547142858083358,0.06295475786826475,5.8990575396825395,0.7001488095238095,34.6875,260.875,11.040128705616505,0.1486691619419463,0.1783549500537536,6.227554563492063,1.0057895833604373,1.0053630842594943,1.0089349592893289,1.0021934022564305,1.058419467765106,24.25,36.375,7.313102867172642,0.3410690985547494,0.6720177343905663,7.8046875,2.337053571428571,5.8990575396825395,3.5116815476190477,0.08531746031746029,0.0,0.7173859126984127,0.020028106734162793,0.0681626513398671,59.8125,64.4375,2.5625,0.6767113095238095,0.052331349206349194,5.466146081822808,43.628348214285715,-1.4140453274901021,2.6875,46.71875,00-0026498,3.6875,0.625,0.0625,0.0,0.9375,16.5625,13.125,14.4375
00-0022127,J.Witten,2015,16,9,96.0,69.0,648.0,679.0,213.0,3.0,13,0,28,2,36,4.0,37.0,14.0,6.0,0.0,148.0,261.0,90.0,214.0,15.0,27.0,11.0,24.0,21.0,31.0,14.0,38.0,237.0,178.0,120.0,134.0,44.0,0,25.0,20.0,11.0,15.0,6.0,0,34,27,14,19,10,0,-0.3861812890595314,0.03268714420120624,6.923561507936508,0.7098214285714286,31.625,246.8125,1.273961644874679,0.1721516923312285,0.18929981300711848,7.156076388888889,1.0298328648676858,1.0264173375732586,1.0328963061465328,1.0868794865367943,1.0683261955105905,18.6875,29.375,7.7403169412544415,-3.2802721868387352,0.6156583901896402,8.012152777777779,2.677951388888889,6.923561507936508,4.277083333333334,0.021701388888888888,0.0,0.7979166666666667,0.027345286962278344,0.0917633365725818,38.875,39.375,5.625,0.7317708333333334,0.03854166666666666,4.610676776538397,55.768055555555556,-1.02581919771258,0.96875,45.0,00-0021678,3.625,0.0625,0.125,0.0,0.875,20.9375,15.1875,14.75
00-0022127,J.Witten,2016,15,9,92.0,68.0,650.0,578.0,252.0,3.0,18,0,24,0,33,7.0,34.0,26.0,7.0,0.0,204.0,190.0,165.0,114.0,16.0,20.0,17.0,16.0,19.0,30.0,24.0,22.0,10.0,102.0,93.0,112.0,356.0,0,1.0,11.0,8.0,16.0,33.0,0,3,16,15,19,42,0,1.4633797848107042,0.012431430882313051,6.573544973544974,0.7848677248677248,33.13333333333333,278.1333333333333,7.601741538122714,0.1439046607783944,0.18470067790363096,8.016322751322752,0.9966906297809541,1.007115292855085,1.0207281357060984,1.0214543650354404,1.1364911461330887,19.0,28.0,8.083994544856527,8.46492683194511,0.7041823639033388,12.024259259259258,2.3967195767195766,6.573544973544974,3.6944708994708995,0.09555555555555556,0.0,0.8019047619047619,0.031023505701667977,0.1208393178749414,33.2,31.133333333333333,3.3333333333333335,0.7515343915343915,0.08888888888888888,5.998020548592021,47.4671164021164,-1.690449571311553,2.8333333333333335,46.86666666666667,00-0033077,3.7333333333333334,0.0,0.0,0.0,1.0,19.8,15.333333333333334,13.466666666666667
00-0022127,J.Witten,2017,16,9,87.0,63.0,560.0,602.0,105.0,5.0,13,0,27,1,42,3.0,26.0,13.0,9.0,0.0,125.0,171.0,32.0,232.0,14.0,22.0,3.0,24.0,18.0,28.0,10.0,31.0,192.0,81.0,39.0,90.0,158.0,0,21.0,13.0,4.0,10.0,15.0,0,24,14,4,22,23,0,1.0802325617470663,0.010213535785077757,6.8237828144078145,0.713701923076923,32.25,251.4375,1.7418921884949952,0.15839940543953349,0.16978263276557634,6.423836233211233,1.0060191407434285,0.9909788429260307,1.0002711351281899,1.0476228415641338,0.8706529855571209,19.25,30.3125,8.10345235902236,0.007999826234975221,0.6374223855536096,9.005753968253968,2.5081845238095237,6.8237828144078145,1.3732886904761905,0.07112713675213675,0.0,0.7363667582417582,0.033304839793149486,0.114060842053171,26.6875,25.5,3.375,0.7206463675213676,0.04498626373626373,2.2727609187751945,50.67385912698413,-1.2796695446145447,-0.65625,47.125,00-0033077,3.75,0.0,0.0625,0.0,0.9375,18.5625,13.3125,14.25
00-0022127,J.Witten,2019,16,9,85.0,63.0,529.0,546.0,162.0,4.0,12,0,16,0,36,2.0,28.0,15.0,4.0,0.0,166.0,136.0,84.0,143.0,19.0,20.0,9.0,15.0,28.0,22.0,12.0,23.0,131.0,32.0,61.0,104.0,201.0,0,14.0,4.0,8.0,12.0,25.0,0,19,12,10,17,27,0,1.2092311816454562,0.010532887305421831,6.713566468253968,0.7484871031746032,33.625,309.5625,11.7764958340688,0.12338961947099095,0.16533730586565024,6.390798611111111,1.0096386332468394,1.004616994545513,1.0089251552867935,1.0381874629058057,1.038571131237043,24.25,36.125,9.126580082454844,1.6300083642708088,0.6821727438916937,9.003993055555556,2.2852678571428573,6.586210317460317,2.5145833333333334,0.050694444444444445,0.0,0.7097470238095238,0.03260175016959424,0.0672049559751238,39.0,35.625,4.6875,0.7398065476190476,0.0234375,3.71772527744524,48.90897817460317,-2.4130136142008745,1.78125,46.53125,00-0033077,3.625,0.125,0.0625,0.0,0.9375,19.25,15.0625,13.1875
00-0022127,J.Witten,2020,10,5,17.0,13.0,69.0,91.0,20.0,2.0,7,0,8,0,2,0.0,8.0,2.0,1.0,0.0,13.0,33.0,10.0,13.0,2.0,6.0,1.0,4.0,3.0,7.0,2.0,5.0,21.0,6.0,22.0,16.0,4.0,0,3.0,1.0,3.0,5.0,1.0,0,3,1,5,7,1,0,0.24071779592057146,0.011439616860652951,4.32,0.8400000000000001,36.6,309.5,11.596515327548646,0.03568916304205547,0.051029591269322605,3.69,1.0271007748089025,1.0156579212923273,1.0063726975200993,1.0328399731560003,0.9164084468469949,22.8,32.2,8.390145735208746,2.6490554935041866,0.7078608503584429,11.809999999999999,2.67,4.32,1.2,0.15,0.0,0.73,0.00103789258796169,0.0403856880838549,69.2,33.3,10.0,0.74,0.0,1.909188309203678,28.75,-4.070145735208746,-1.95,50.95,00-0031280,2.9,0.6,0.0,0.0,1.0,16.5,15.7,17.8
