receiver_player_id,receiver_player_name,season,games_played,posteam,targets,receptions,receiving_yards,air_yards,yac,tds,red_zone_targets,end_zone_targets,third_down_targets,fourth_down_targets,high_leverage_targets,explosive_plays,first_downs,second_and_long_targets,third_and_medium_targets,lost_yards_due_to_penalty,yards_Q1,yards_Q2,yards_Q3,yards_Q4,receptions_Q1,receptions_Q2,receptions_Q3,receptions_Q4,targets_Q1,targets_Q2,targets_Q3,targets_Q4,yards_wp_<25,yards_wp_25_45,yards_wp_45_55,yards_wp_55_75,yards_wp_>75,yards_wp_NA,receptions_wp_<25,receptions_wp_25_45,receptions_wp_45_55,receptions_wp_55_75,receptions_wp_>75,receptions_wp_NA,targets_wp_<25,targets_wp_25_45,targets_wp_45_55,targets_wp_55_75,targets_wp_>75,targets_wp_NA,epa,wpa,avg_depth,catch_rate,team_pass_attempts,team_air_yards,team_epa,air_yard_share,target_share,yards_per_target,def_targets_dev,def_receptions_dev,def_yards_dev,def_tds_dev,def_epa_dev,qb_completions,qb_attempts,qb_air_yards,qb_cpoe,qb_comp_pct,avg_score_diff,avg_quarter,adot,yac_per_reception,td_rate,trailing_pct,leading_pct,wp_var,target_share_std,temp_f,humidity_pct,wind_mph,success_rate,big_play_rate,reception_std,avg_start_yardline,avg_target_depth_vs_qb,pregame_spread,pregame_total,passer_player_id,surface,is_dome,is_rain,is_snow,is_clear,defteam,home_team,away_team
00-0027944,J.Jones,2015,16,2,203.0,136.0,1871.0,2061.0,641.0,8.0,22,0,45,3,65,25.0,93.0,40.0,9.0,0.0,429.0,518.0,455.0,469.0,34.0,41.0,29.0,32.0,52.0,62.0,43.0,46.0,351.0,490.0,281.0,410.0,339.0,0,24.0,30.0,26.0,32.0,24.0,0,39,44,31,53,36,0,5.183288721301449,0.1672464265622383,10.154758782883784,0.6816115257291728,38.6875,298.75,8.105781963816277,0.4240971889767135,0.32781246676172937,9.37656828465652,0.9988068007012421,1.0221410386397591,1.0290200677646197,1.1234957903084641,1.2388336757494214,25.4375,38.25,7.750282351257482,0.28060063640801164,0.6683149569708382,7.3516294367397315,2.3805916509960627,10.154758782883784,4.58517818986569,0.03658730974907445,0.0,0.6871763040880687,0.024774175652229044,0.1639608793906618,38.75,29.6875,3.625,0.671763040880688,0.12250017139723021,10.033027461873914,57.50491585620262,2.4044764316263003,1.0625,47.71875,00-0026143,3.375,0.5625,0.0,0.0,1.0,20.625,11.375,11.25
00-0027944,J.Jones,2016,17,2,154.0,102.0,1743.0,2096.0,511.0,9.0,15,0,27,2,82,33.0,81.0,39.0,9.0,0.0,313.0,509.0,641.0,280.0,24.0,32.0,34.0,12.0,33.0,48.0,43.0,30.0,233.0,185.0,240.0,339.0,746.0,0,13.0,12.0,15.0,19.0,43.0,0,21,16,19,30,68,0,5.2391934009459575,0.08303376235807669,13.549076903488668,0.6614145658263305,34.705882352941174,313.4117647058824,15.230347579862997,0.38670712823044134,0.26214040952369644,11.118802521008403,0.9957527006820366,0.9909165312077848,1.028081547383076,0.96483654530246,0.9534570238817027,24.0,34.0,8.958040116296765,7.152501503407116,0.7051332878894782,14.293160597572363,2.4623366013071895,13.48312324929972,4.655298786181139,0.05816993464052286,0.0,0.8011904761904762,0.030297579334914275,0.1033705892746099,33.0,25.058823529411764,2.9411764705882355,0.6614145658263305,0.21681839402427638,8.753384323891538,55.48579598506069,4.591036787191904,2.6470588235294117,50.64705882352941,00-0026143,3.3529411764705883,0.5882352941176471,0.058823529411764705,0.0,0.9411764705882353,18.0,9.352941176470589,10.647058823529411
00-0027944,J.Jones,2018,16,2,169.0,113.0,1677.0,2341.0,448.0,8.0,17,0,45,1,70,24.0,80.0,24.0,6.0,0.0,350.0,436.0,237.0,654.0,30.0,28.0,20.0,35.0,41.0,44.0,38.0,47.0,375.0,292.0,263.0,376.0,371.0,0,27.0,18.0,14.0,31.0,23.0,0,38,33,20,43,36,0,4.421328609629412,0.09733739282379347,14.041840286906076,0.6705678276401961,37.9375,323.5625,11.93731221663322,0.44851841034064055,0.2775880007920182,9.773459070169597,1.0094281209112113,1.0305690969549774,1.0333625056596982,1.033773242544782,1.2030851755199135,26.375,37.5,8.826405827043057,4.172390155230861,0.6996473368062593,10.56824924892359,2.499105298940825,14.041840286906076,3.870348575036075,0.05536009129759129,0.0,0.7873547231277495,0.030742068766582673,0.1388464841544563,40.6875,40.75,3.5,0.6638713990687675,0.13824664005585055,8.712548103468542,54.17734414708099,5.136236314258624,2.8125,50.46875,00-0026143,3.0625,0.0625,0.0,0.0,1.0,16.5625,11.1875,7.375
00-0027944,J.Jones,2019,15,2,150.0,94.0,1320.0,1830.0,332.0,6.0,18,0,45,2,79,21.0,77.0,24.0,14.0,0.0,264.0,518.0,293.0,319.0,21.0,31.0,22.0,25.0,41.0,49.0,31.0,37.0,667.0,249.0,77.0,162.0,239.0,0,49.0,16.0,7.0,11.0,16.0,0,69,29,16,17,27,0,4.4202224063945685,0.1254445066182234,12.730853590853592,0.64497150997151,41.0,333.4,10.49862646351316,0.37789243711616716,0.2462636929830833,9.56468253968254,1.0462855917440697,1.0512147995509935,1.0468047025616936,1.043161084093679,1.0567324392091888,26.8,38.4,8.50699681747101,5.149821948544191,0.7180061800222786,8.913241758241758,2.382720797720798,12.676813186813186,3.9475579975579977,0.032962962962962965,0.0,0.8012779812779812,0.026313285647586525,0.2336231383629074,40.13333333333333,36.6,3.4,0.6120085470085469,0.1363980463980464,10.947490169218723,56.43847171347171,4.411236745947738,2.7333333333333334,49.63333333333333,00-0026143,3.4,0.13333333333333333,0.0,0.0,1.0,18.066666666666666,10.0,10.066666666666666
00-0027944,J.Jones,2020,9,2,67.0,51.0,771.0,726.0,231.0,3.0,10,0,12,5,31,16.0,37.0,18.0,1.0,0.0,246.0,133.0,214.0,178.0,16.0,13.0,13.0,9.0,23.0,18.0,15.0,12.0,203.0,148.0,84.0,174.0,162.0,0,14.0,9.0,4.0,13.0,11.0,0,17,14,6,16,15,0,6.160121602616493,0.10182034298630736,10.604409171075837,0.7910934744268077,38.111111111111114,344.8888888888889,12.872707722409162,0.2416196133259715,0.19580776404359954,11.541710758377427,0.9926977646271588,0.9910954733808942,1.001417429320628,1.02806238846434,1.069795996208684,26.0,38.0,9.053816017051311,2.612726187507668,0.6818066356844408,10.022751322751324,2.2147266313932983,10.604409171075837,4.441975308641975,0.03809523809523809,0.0,0.7639329805996473,0.028894062007232477,0.112944394465545,64.88888888888889,63.333333333333336,7.666666666666667,0.7725749559082893,0.22451499118165785,8.79340046442252,52.49373897707231,1.470698974130347,2.2777777777777777,51.5,00-0026143,3.6666666666666665,0.2222222222222222,0.0,0.0,1.0,15.777777777777779,8.666666666666666,9.11111111111111
00-0027944,J.Jones,2021,11,1,55.0,37.0,496.0,634.0,136.0,1.0,7,0,16,1,29,4.0,23.0,8.0,8.0,0.0,116.0,279.0,18.0,83.0,10.0,15.0,3.0,9.0,14.0,25.0,7.0,9.0,140.0,114.0,13.0,101.0,128.0,0,10.0,5.0,1.0,9.0,12.0,0,17,5,1,11,21,0,1.3630667966912948,0.04809505218998347,9.939790764790764,0.6526695526695527,36.63636363636363,265.8181818181818,5.502967572980375,0.2054879332559584,0.14034616426358132,8.22135642135642,1.0040339260569053,1.012888718124386,1.0052849519671945,0.9555436683043534,0.9998726639081265,20.636363636363637,29.454545454545453,7.66323423702734,3.600260243318304,0.7028058435817056,8.57943722943723,2.0667388167388165,9.939790764790764,3.5924242424242423,0.0101010101010101,0.0,0.6932539682539682,0.015976448726775852,0.0821921348233447,58.54545454545455,60.0,5.909090909090909,0.6526695526695527,0.075,6.54397533532846,48.276911976911975,2.2765565277634243,0.9090909090909091,49.5,00-0029701,1.9090909090909092,0.09090909090909091,0.0,0.0,1.0,14.0,25.90909090909091,19.09090909090909
00-0027944,J.Jones,2022,11,9,54.0,31.0,373.0,675.0,131.0,3.0,16,0,15,3,32,4.0,16.0,8.0,3.0,0.0,43.0,121.0,83.0,126.0,4.0,7.0,8.0,12.0,9.0,11.0,13.0,21.0,153.0,25.0,17.0,95.0,83.0,0,17.0,2.0,2.0,6.0,4.0,0,26,6,5,9,8,0,0.9760879830292498,0.0039050735988505818,13.569283746556472,0.5555785123966942,32.72727272727273,260.72727272727275,7.400099391750111,0.266871447752472,0.16206424447900797,6.581267217630853,1.0040981856581057,1.0104090457145496,0.9900334967805396,0.9701341370717117,0.9558539870774603,31.0,45.90909090909091,7.060766005309636,0.03337471875207418,0.6824828782804769,7.1391873278236915,2.751859504132231,13.569283746556472,4.602597402597403,0.049173553719008264,0.0,0.6737603305785124,0.019237714390225324,0.087990326646161,60.90909090909091,59.09090909090909,5.636363636363637,0.5555785123966942,0.06735537190082645,6.817099376470961,46.27961432506887,6.508517741246838,0.3181818181818182,43.5,00-0019596,2.090909090909091,0.0,0.09090909090909091,0.0,0.9090909090909091,11.909090909090908,23.363636363636363,18.545454545454547
00-0027944,J.Jones,2023,9,20,22.0,14.0,96.0,153.0,28.0,3.0,4,0,5,1,12,1.0,5.0,5.0,1.0,0.0,21.0,57.0,0.0,18.0,3.0,6.0,1.0,4.0,4.0,11.0,1.0,6.0,26.0,5.0,0.0,9.0,56.0,0,4.0,2.0,0.0,2.0,6.0,0,6,4,0,3,9,0,0.3935124547118432,0.016923347350105443,6.305555555555555,0.7314814814814814,34.22222222222222,280.22222222222223,6.299985501868651,0.07323121203285618,0.07373676441136756,4.9259259259259265,0.9970533222940454,1.0119074653686895,1.0154682969900497,1.0362832237754551,1.0700880136461624,19.444444444444443,27.444444444444443,8.193913339746674,2.5975242909640173,0.6973320660820661,9.472222222222221,2.4074074074074074,6.305555555555555,2.0555555555555554,0.16666666666666666,0.0,0.7962962962962963,0.03385760399259468,0.0368753065396087,51.22222222222222,73.33333333333333,7.555555555555555,0.6388888888888888,0.05555555555555555,2.0557138614726793,53.99074074074073,-1.8883577841911174,1.6666666666666667,45.611111111111114,00-0036389,2.4444444444444446,0.0,0.1111111111111111,0.0,0.8888888888888888,19.88888888888889,26.0,19.88888888888889
00-0019596,T.Brady,2015,1,22,1.0,1.0,36.0,7.0,29.0,0.0,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,3.12903063558042,0.0358957946300507,7.0,1.0,56.0,571.0,0.8724700712482618,0.0122591943957968,0.0178571428571428,36.0,1.106045573454746,1.0957408674897422,1.090241701814418,1.3760550937473035,1.215106732246509,1.0,1.0,7.0,38.4105682373047,1.0,14.0,3.0,7.0,29.0,0.0,0.0,1.0,0.0,0.0168358757425368,52.0,49.0,5.0,1.0,1.0,0.0,75.0,0.0,9.5,49.5,00-0026035,4.0,0.0,0.0,0.0,1.0,26.0,22.0,26.0
00-0019596,T.Brady,2017,1,22,1.0,0.0,0.0,7.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,-1.00078344950452,-0.043950766324997,7.0,0.0,47.0,559.0,23.82421799381195,0.0125223613595706,0.0212765957446808,0.0,1.1204740067367396,1.089463494785938,1.065283839769074,1.0402086879118435,0.3449063796722523,0.0,1.0,7.0,-67.3980951309204,0.0,3.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0003270614159049,3.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.5,48.5,00-0026035,3.0,1.0,0.0,0.0,1.0,26.0,22.0,26.0
