Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2017,22,KAN,RB,16,16,272,1327,8,63,43.8,69,4.9,82.9,17.0,63,53,455,8.6,3,17,49.2,78,3.3,28.4,84.1,7.2,325,5.5,1782,11,1,15,"PB,AP ORoY-2",Kareem Hunt,HuntKa00
2018,23,KAN,RB,11,11,181,824,7,46,51.9,45,4.6,74.9,16.5,35,26,378,14.5,7,16,62.9,67,2.4,34.4,74.3,10.8,207,5.8,1202,14,0,11,,Kareem Hunt,HuntKa00
2019,24,CLE,RB,8,3,43,179,2,8,53.5,16,4.2,22.4,5.4,44,37,285,7.7,1,17,52.3,29,4.6,35.6,84.1,6.5,80,5.8,464,3,1,3,,Kareem Hunt,HuntKa00
2020,25,CLE,RB,16,5,198,841,6,44,48.0,33,4.2,52.6,12.4,51,38,304,8.0,5,19,54.9,26,2.4,19.0,74.5,6.0,236,4.9,1145,11,2,9,,Kareem Hunt,HuntKa00
2021,26,CLE,RB,8,1,78,386,5,22,47.4,33,4.9,48.3,9.8,27,22,174,7.9,0,10,51.9,23,2.8,21.8,81.5,6.4,100,5.6,560,5,0,4,,Kareem Hunt,HuntKa00
2022,27,CLE,RB,17,0,123,468,3,30,48.0,24,3.8,27.5,7.2,44,35,210,6.0,1,11,38.6,24,2.1,12.4,79.5,4.8,158,4.3,678,4,1,5,,Kareem Hunt,HuntKa00
2023,28,CLE,RB,15,2,135,411,9,40,45.9,16,3.0,27.4,9.0,21,15,84,5.6,0,6,38.1,13,1.0,5.6,71.4,4.0,150,3.3,495,9,0,3,,Kareem Hunt,HuntKa00
2024,29,KAN,RB,13,8,200,728,7,50,55.5,20,3.6,56.0,15.4,32,23,176,7.7,0,10,53.1,26,1.8,13.5,71.9,5.5,223,4.1,904,7,0,5,,Kareem Hunt,HuntKa00
2025,30,KAN,RB,17,4,163,611,8,55,57.1,33,3.7,35.9,9.6,25,18,143,7.9,1,8,44.0,22,1.1,8.4,72.0,5.7,181,4.2,754,9,2,5,,Kareem Hunt,HuntKa00
