Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2018,21,NYJ,QB,13,13,94,95,88,88,78,96,79,99,83,,Sam Darnold,DarnSa00
2019,22,NYJ,QB,13,13,92,92,89,90,89,96,88,96,89,,Sam Darnold,DarnSa00
2020,23,NYJ,QB,12,12,77,74,75,73,79,79,85,80,74,,Sam Darnold,DarnSa00
2021,24,CAR,QB,12,11,81,81,76,77,79,77,81,88,73,,Sam Darnold,DarnSa00
2022,25,CAR,QB,6,6,126,120,121,117,73,108,104,98,104,,Sam Darnold,DarnSa00
2024,27,MIN,QB,17,17,118,111,119,114,105,125,101,92,118,"PB,AP MVP-10,AP CPoY-3",Sam Darnold,DarnSa00
2025,28,SEA,QB,14,14,136,138,124,126,110,113,90,116,115,,Sam Darnold,DarnSa00
