Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,21,NYJ,QB,13,13,44,138,16,90,2.0,48,1.1,2,22.0,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2019,22,NYJ,QB,13,13,33,62,6,54,1.6,8,0.2,0,,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2020,23,NYJ,QB,12,12,37,217,13,145,3.9,72,1.9,1,37.0,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2021,24,CAR,QB,12,11,48,222,20,205,4.3,17,0.4,2,24.0,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2022,25,CAR,QB,6,6,26,106,10,82,3.2,24,0.9,0,,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2023,26,SFO,QB,10,1,21,15,3,9,0.4,6,0.3,0,,0,0,0,0,0,0,0,0,0,,Sam Darnold,DarnSa00
2024,27,MIN,QB,17,17,67,212,26,155,2.3,57,0.9,1,67.0,0,0,0,0,0,0,0,0,0,"PB,AP MVP-10,AP CPoY-3",Sam Darnold,DarnSa00
2025,28,SEA,QB,17,17,35,95,10,87,2.5,8,0.2,0,,0,0,0,0,0,0,0,0,0,PB,Sam Darnold,DarnSa00
