Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2018,21,NYJ,QB,14,13,13,810,100%,0,0%,0,0%,Sam Darnold,DarnSa00
2019,22,NYJ,QB,14,13,13,840,100%,0,0%,0,0%,Sam Darnold,DarnSa00
2020,23,NYJ,QB,14,12,12,739,100%,0,0%,0,0%,Sam Darnold,DarnSa00
2021,24,CAR,QB,14,12,11,771,93%,0,0%,0,0%,Sam Darnold,DarnSa00
2022,25,CAR,QB,14,6,6,377,100%,0,0%,0,0%,Sam Darnold,DarnSa00
2023,26,SFO,QB,14,10,1,130,20%,0,0%,0,0%,Sam Darnold,DarnSa00
2025,28,SEA,QB,14,14,14,823,96%,0,0%,0,0%,Sam Darnold,DarnSa00
