Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,31,DEN,RB,23,10,9,391,57%,0,0%,0,0%,Willis McGahee,McGaWi00
2013,32,CLE,RB,26,12,6,264,31%,0,0%,0,0%,Willis McGahee,McGaWi00
