Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,37,NYG,QB,16,16,15,20,5,15,1.0,5,0.3,0,0,0,0,0,0,0,0,0,0,,Eli Manning,MannEl00
2019,38,NYG,QB,4,4,4,7,1,5,1.3,2,0.5,0,0,0,0,0,0,0,0,0,0,,Eli Manning,MannEl00
