Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2004,23,NYG,QB,9,7,0,0,0,0,0,0,3,0,-9,0,0.0,,,,,,0,,Eli Manning,MannEl00
2005,24,NYG,QB,16,16,0,0,0,0,0,0,9,0,0,0,0.0,,,,,,0,,Eli Manning,MannEl00
2006,25,NYG,QB,16,16,0,0,0,0,0,0,9,1,-3,0,0.0,,,,,,0,,Eli Manning,MannEl00
2007,26,NYG,QB,16,16,0,0,0,0,0,0,13,4,-5,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
2008,27,NYG,QB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,,,0,PB,Eli Manning,MannEl00
2009,28,NYG,QB,16,16,0,0,0,0,0,0,13,1,0,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
2010,29,NYG,QB,16,16,0,0,0,0,0,0,7,2,-4,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
2011,30,NYG,QB,16,16,0,0,0,0,0,0,8,3,-3,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-6",Eli Manning,MannEl00
2012,31,NYG,QB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,,,0,PB,Eli Manning,MannEl00
2013,32,NYG,QB,16,16,0,0,0,0,0,0,7,1,-6,0,0.0,0,0,0,,,0,,Eli Manning,MannEl00
2014,33,NYG,QB,16,16,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,,,0,,Eli Manning,MannEl00
2015,34,NYG,QB,16,16,0,0,0,0,0,0,11,4,-19,0,0.0,0,0,0,0,0,0,PB,Eli Manning,MannEl00
2016,35,NYG,QB,16,16,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,,,0,,Eli Manning,MannEl00
2017,36,NYG,QB,15,15,0,0,0,0,0,0,11,5,-5,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
2018,37,NYG,QB,16,16,0,0,0,0,0,0,7,2,0,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
2019,38,NYG,QB,4,4,0,0,0,0,0,0,3,0,-3,0,0.0,0,0,0,0,0,0,,Eli Manning,MannEl00
