Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2022,23,TAM,TE,16,11,65,42,391,9.3,2,23,52.3,35,2.6,24.4,64.6,6.0,0,0,0,0,,,,0.0,0.0,42,9.3,391,2,0,3,,Cade Otton,OttoCa00
2023,24,TAM,TE,17,17,67,47,455,9.7,4,27,49.3,27,2.8,26.8,70.1,6.8,0,0,0,0,,,,0.0,0.0,47,9.7,455,4,1,4,,Cade Otton,OttoCa00
2024,25,TAM,TE,14,14,87,59,600,10.2,4,33,51.7,44,4.2,42.9,67.8,6.9,1,-4,0,0,0.0,-4,-4.0,-0.3,0.1,60,9.9,596,4,2,6,,Cade Otton,OttoCa00
2025,26,TAM,TE,16,16,81,59,572,9.7,1,25,51.9,27,3.7,35.8,72.8,7.1,0,0,0,0,,,,0.0,0.0,59,9.7,572,1,0,5,,Cade Otton,OttoCa00
