Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,awards,Player,PlayerID
2019,22,DAL,NFL,RB,15,0,86,455,21,146,1.7,309,3.6,10,8.6,20,15,107,4,-28,-1.9,135,9.0,-0.9,1,15.0,1,5.0,1,82.7,,Tony Pollard,PollTo00
2020,23,DAL,NFL,RB,16,2,101,435,23,186,1.8,249,2.5,8,12.6,40,28,193,9,-39,-1.4,232,8.3,-0.4,4,7.0,4,10.0,0,88.9,,Tony Pollard,PollTo00
2021,24,DAL,NFL,RB,15,0,130,719,35,398,3.1,321,2.5,7,18.6,46,39,337,16,-4,-0.1,341,8.7,0.2,4,9.8,3,6.5,0,97.2,,Tony Pollard,PollTo00
2022,25,DAL,NFL,RB,16,4,193,1007,49,504,2.6,503,2.6,11,17.5,55,39,371,19,24,0.6,347,8.9,1.4,2,19.5,3,5.5,0,107.5,,Tony Pollard,PollTo00
2023,26,DAL,NFL,RB,17,17,252,1005,60,495,2.0,510,2.0,19,13.3,67,55,311,13,-10,-0.2,321,5.8,0.4,14,3.9,6,9.0,0,86.0,,Tony Pollard,PollTo00
2024,27,TEN,NFL,RB,16,16,260,1079,53,521,2.0,558,2.1,22,11.8,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14.0,1,72.1,,Tony Pollard,PollTo00
2025,28,TEN,NFL,RB,17,17,242,1082,48,640,2.6,442,1.8,16,15.1,41,33,206,11,3,0.1,203,6.2,0.3,2,16.5,2,4.9,1,77.4,,Tony Pollard,PollTo00
