Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,awards,Player,PlayerID
2019,22,DAL,NFL,RB,15,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Tony Pollard,PollTo00
2020,23,DAL,NFL,RB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,Tony Pollard,PollTo00
2021,24,DAL,NFL,RB,15,0,0,0,0,0,0,0,2,1,0,0,0.0,5,4,1,0,0,0,,Tony Pollard,PollTo00
2022,25,DAL,NFL,RB,16,4,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,Tony Pollard,PollTo00
2023,26,DAL,NFL,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,Tony Pollard,PollTo00
2024,27,TEN,NFL,RB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Tony Pollard,PollTo00
2025,28,TEN,NFL,RB,14,14,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Tony Pollard,PollTo00
