Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2004,22,SDG,RB,14,1,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,,0,,Michael Turner,TurnMi00
2005,23,SDG,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,,0,,Michael Turner,TurnMi00
2006,24,SDG,RB,13,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,Michael Turner,TurnMi00
2007,25,SDG,RB,16,0,0,0,0,0,0,0,1,0,0,0,0.0,3,2,1,0,0,0,,Michael Turner,TurnMi00
2008,26,ATL,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-2,AP OPoY-6",Michael Turner,TurnMi00
2009,27,ATL,RB,11,11,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Michael Turner,TurnMi00
2010,28,ATL,RB,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,"PB,AP-2",Michael Turner,TurnMi00
2011,29,ATL,RB,16,15,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,,Michael Turner,TurnMi00
2012,30,ATL,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Michael Turner,TurnMi00
