Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2019,22,BUF,RB,12,8,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Devin Singletary,SingDe00
2020,23,BUF,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Devin Singletary,SingDe00
2021,24,BUF,RB,17,16,0,0,0,0,0,0,5,2,5,0,0.0,1,1,0,0,0,0,,Devin Singletary,SingDe00
2022,25,BUF,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,3,2,1,0,0,0,,Devin Singletary,SingDe00
2023,26,HOU,RB,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Devin Singletary,SingDe00
2024,27,NYG,RB,15,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Devin Singletary,SingDe00
