Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2019,22,BUF,RB,26,12,8,530,67%,0,0%,0,0%,Devin Singletary,SingDe00
2020,23,BUF,RB,26,16,16,621,57%,0,0%,0,0%,Devin Singletary,SingDe00
2021,24,BUF,RB,26,17,16,718,60%,0,0%,0,0%,Devin Singletary,SingDe00
2022,25,BUF,RB,26,16,16,709,65%,0,0%,0,0%,Devin Singletary,SingDe00
2023,26,HOU,RB,26,17,10,629,56%,0,0%,22,5%,Devin Singletary,SingDe00
2024,27,NYG,RB,26,15,5,380,39%,0,0%,0,0%,Devin Singletary,SingDe00
2025,28,NYG,RB,26,17,1,311,27%,0,0%,26,6%,Devin Singletary,SingDe00
