Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2008,24,SEA,NFL,T,4,2,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,,Kyle Williams,WillKy00
2009,25,SEA,NFL,T,3,1,0,0,0,0,,0,0,0,0,0,0.0,,,,,,0,1,,Kyle Williams,WillKy00
