Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2015,36,NOR,QB,9,15,15,1088,100%,0,0%,0,0%,Drew Brees,BreeDr00
2020,41,NOR,QB,9,12,12,717,89%,0,0%,0,0%,Drew Brees,BreeDr00
