Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,39,NOR,QB,15,15,31,22,11,17,0.5,5,0.2,1,31.0,1,1,1,0,-2,-2.0,3,3.0,-2.0,0,0,0.0,0,79.2,"PB,AP-2,AP MVP-2,AP OPoY-2",Drew Brees,BreeDr00
2019,40,NOR,QB,11,11,9,-4,2,-4,-0.4,0,0.0,0,,0,0,0,0,0,,0,,,0,0,,0,,PB,Drew Brees,BreeDr00
2020,41,NOR,QB,12,12,18,-2,4,-6,-0.3,4,0.2,0,,0,0,0,0,0,,0,,,0,0,,0,,,Drew Brees,BreeDr00
