Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2017,21,CAR,NFL,RB,16,10,117,435,2,22,45.3,40,3.7,27.2,7.3,113,80,651,8.1,5,37,50.4,37,5.0,40.7,70.8,5.8,197,5.5,1086,7,2,9.0,,Christian McCaffrey,McCaCh01
2018,22,CAR,NFL,RB,16,16,219,1098,7,53,54.3,59,5.0,68.6,13.7,124,107,867,8.1,6,41,55.6,38,6.7,54.2,86.3,7.0,326,6.0,1965,13,4,16.0,,Christian McCaffrey,McCaCh01
2019,23,CAR,NFL,RB,16,16,287,1387,15,57,46.3,84,4.8,86.7,17.9,142,116,1005,8.7,4,58,59.9,28,7.3,62.8,81.7,7.1,403,5.9,2392,19,1,15.0,,Christian McCaffrey,McCaCh01
2020,24,CAR,NFL,RB,3,3,59,225,5,14,57.6,15,3.8,75.0,19.7,19,17,149,8.8,1,8,52.6,24,5.7,49.7,89.5,7.8,76,4.9,374,6,0,3.0,,Christian McCaffrey,McCaCh01
2021,25,CAR,NFL,RB,7,7,99,442,1,20,50.5,18,4.5,63.1,14.1,41,37,343,9.3,1,21,65.9,32,5.3,49.0,90.2,8.4,136,5.8,785,2,1,5.0,,Christian McCaffrey,McCaCh01
2022,26,2TM,NFL,RB,17,16,244,1139,8,59,48.4,49,4.7,67.0,14.4,108,85,741,8.7,5,36,52.8,49,5.0,43.6,78.7,6.9,329,5.7,1880,13,1,15.0,,Christian McCaffrey,McCaCh01
2023,27,SFO,NFL,RB,16,16,272,1459,14,83,54.0,72,5.4,91.2,17.0,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7,6.8,339,6.0,2023,21,3,18.0,,Christian McCaffrey,McCaCh01
2024,28,SFO,NFL,RB,4,4,50,202,0,12,44.0,19,4.0,50.5,12.5,19,15,146,9.7,0,6,52.6,30,3.8,36.5,78.9,7.7,65,5.4,348,0,1,2.0,,Christian McCaffrey,McCaCh01
2025,29,SFO,NFL,RB,14,14,259,922,9,57,47.1,20,3.6,65.9,18.5,108,86,820,9.5,5,42,59.3,39,6.1,58.6,79.6,7.6,345,5.0,1742,14,2,,,Christian McCaffrey,McCaCh01
