Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2013,23,NYJ,QB,7,16,16,985,94%,0,0%,0,0%,Geno Smith,SmitGe00
2014,24,NYJ,QB,7,14,13,816,85%,0,0%,0,0%,Geno Smith,SmitGe00
2015,25,NYJ,QB,7,1,0,65,89%,0,0%,0,0%,Geno Smith,SmitGe00
2016,26,NYJ,QB,7,2,1,33,27%,0,0%,0,0%,Geno Smith,SmitGe00
2017,27,NYG,QB,3,2,1,66,51%,0,0%,0,0%,Geno Smith,SmitGe00
2018,28,LAC,QB,3,5,0,32,10%,0,0%,0,0%,Geno Smith,SmitGe00
2020,30,SEA,QB,7,1,0,18,25%,0,0%,0,0%,Geno Smith,SmitGe00
2021,31,SEA,QB,7,4,3,203,84%,0,0%,0,0%,Geno Smith,SmitGe00
2024,34,SEA,QB,7,17,17,1075,98%,0,0%,0,0%,Geno Smith,SmitGe00
2025,35,LVR,QB,7,15,15,863,97%,0,0%,0,0%,Geno Smith,SmitGe00
