Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards,Player,PlayerID
2018,29,KAN,TE,16,16,150,103,1336,68,767,7.4,569,5.5,9.2,7,14.7,7,4.7,3,110.3,0,0,0,0,,0,,0,"PB,AP-1",Travis Kelce,KelcTr00
2019,30,KAN,TE,16,16,136,97,1229,65,819,8.4,410,4.2,9.0,6,16.2,8,5.9,0,111.4,1,4,1,3,3.0,1,1.0,0,"PB,AP-2",Travis Kelce,KelcTr00
2020,31,KAN,TE,15,15,145,105,1416,79,829,7.9,587,5.6,8.5,10,10.5,2,1.4,3,119.8,0,0,0,0,,0,,0,"PB,AP-1,AP OPoY-4",Travis Kelce,KelcTr00
2021,32,KAN,TE,16,16,134,92,1125,80,561,6.1,564,6.1,7.4,8,11.5,10,7.5,5,101.1,2,3,1,3,1.5,0,0.0,0,"PB,AP-2",Travis Kelce,KelcTr00
2022,33,KAN,TE,17,17,152,110,1338,82,690,6.3,648,5.9,7.1,13,8.5,8,5.3,3,117.2,2,5,1,1,0.5,4,2.0,0,"PB,AP-1,AP OPoY-6",Travis Kelce,KelcTr00
2023,34,KAN,TE,15,15,121,93,984,61,514,5.5,470,5.1,6.7,4,23.3,7,5.8,2,106.9,0,0,1,0,,0,,0,PB,Travis Kelce,KelcTr00
2024,35,KAN,TE,16,16,133,97,823,54,482,5.0,341,3.5,6.4,3,32.3,6,4.5,4,83.6,1,1,0,0,0.0,1,1.0,0,PB,Travis Kelce,KelcTr00
2025,36,KAN,TE,17,17,108,76,851,46,429,5.6,422,5.6,6.8,1,76.0,7,6.5,4,93.6,1,1,0,1,1.0,0,0.0,0,PB,Travis Kelce,KelcTr00
