Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2019,22,DET,TE,12,7,59,32,367,11.5,2,19,45.8,39,2.7,30.6,54.2,6.2,0,0,0,0,,,0.0,0.0,32,11.5,367,2,0,3,,T.J. Hockenson,HockTJ00
2020,23,DET,TE,16,16,101,67,723,10.8,6,40,53.5,51,4.2,45.2,66.3,7.2,1,0,0,0,0.0,0.0,0.0,0.1,68,10.6,723,6,1,6,PB,T.J. Hockenson,HockTJ00
2021,24,DET,TE,12,12,84,61,583,9.6,4,32,56.0,33,5.1,48.6,72.6,6.9,0,0,0,0,,,0.0,0.0,61,9.6,583,4,0,5,,T.J. Hockenson,HockTJ00
2022,25,2TM,TE,17,14,129,86,914,10.6,6,50,47.3,81,5.1,53.8,66.7,7.1,0,0,0,0,,,0.0,0.0,86,10.6,914,6,1,8,PB,T.J. Hockenson,HockTJ00
2023,26,MIN,TE,15,11,127,95,960,10.1,5,48,53.5,29,6.3,64.0,74.8,7.6,0,0,0,0,,,0.0,0.0,95,10.1,960,5,1,7,,T.J. Hockenson,HockTJ00
2024,27,MIN,TE,10,9,62,41,455,11.1,0,33,54.8,34,4.1,45.5,66.1,7.3,0,0,0,0,,,0.0,0.0,41,11.1,455,0,0,4,AP CPoY-19,T.J. Hockenson,HockTJ00
2025,28,MIN,TE,15,15,66,51,438,8.6,3,22,48.5,29,3.4,29.2,77.3,6.6,1,0,0,0,0.0,0.0,0.0,0.1,52,8.4,438,3,0,4,,T.J. Hockenson,HockTJ00
