Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2019,22,DET,TE,88,12,7,525,63%,0,0%,2,1%,T.J. Hockenson,HockTJ00
2021,24,DET,TE,88,12,12,658,84%,0,0%,0,0%,T.J. Hockenson,HockTJ00
2023,26,MIN,TE,87,15,11,790,79%,0,0%,0,0%,T.J. Hockenson,HockTJ00
2024,27,MIN,TE,87,10,9,423,61%,0,0%,3,1%,T.J. Hockenson,HockTJ00
2025,28,MIN,TE,87,15,15,691,79%,0,0%,1,0%,T.J. Hockenson,HockTJ00
