Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2021,22,CHI,QB,12,10,72,420,22,293,4.1,127,1.8,5,14.4,0,0,0,0,0,0,,0,0,,0,,,Justin Fields,FielJu00
2022,23,CHI,QB,15,15,160,1143,65,856,5.4,287,1.8,10,16.0,0,0,0,0,0,0,,0,0,,0,,AP MVP-9,Justin Fields,FielJu00
2023,24,CHI,QB,13,13,124,657,43,447,3.6,210,1.7,9,13.8,0,0,0,0,0,0,,0,0,,0,,,Justin Fields,FielJu00
2024,25,PIT,QB,10,6,62,289,19,214,3.5,75,1.2,2,31.0,0,0,0,0,0,0,,0,0,,0,,,Justin Fields,FielJu00
2025,26,NYJ,QB,9,9,71,383,26,309,4.4,74,1.0,3,23.7,1,0,0,0,0,0,6.0,0,0,0.0,0,39.6,,Justin Fields,FielJu00
