Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2021,22,CHI,QB,1,12,10,635,84%,0,0%,0,0%,Justin Fields,FielJu00
2022,23,CHI,QB,1,15,15,917,99%,0,0%,0,0%,Justin Fields,FielJu00
2023,24,CHI,QB,1,13,13,829,96%,0,0%,0,0%,Justin Fields,FielJu00
2024,25,PIT,QB,2,10,6,408,62%,0,0%,0,0%,Justin Fields,FielJu00
2025,26,NYJ,QB,7,9,9,501,91%,0,0%,0,0%,Justin Fields,FielJu00
