Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2019,22,CHI,RB,32,16,8,614,57%,0,0%,2,1%,David Montgomery,MontDa01
2020,23,CHI,RB,32,15,14,759,74%,0,0%,2,1%,David Montgomery,MontDa01
2021,24,CHI,RB,32,13,13,642,75%,0,0%,0,0%,David Montgomery,MontDa01
2022,25,CHI,RB,32,16,16,629,65%,0,0%,0,0%,David Montgomery,MontDa01
2023,26,DET,RB,5,14,14,453,48%,0,0%,0,0%,David Montgomery,MontDa01
2024,27,DET,RB,5,14,14,390,41%,0,0%,0,0%,David Montgomery,MontDa01
2025,28,DET,RB,5,17,0,408,37%,0,0%,0,0%,David Montgomery,MontDa01
