Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2019,22,CHI,RB,16,8,242,889,6,50,43.4,55,3.7,55.6,15.1,35,25,185,7.4,1,7,42.9,30,1.6,11.6,71.4,5.3,267,4.0,1074,7,2,6,,David Montgomery,MontDa01
2020,23,CHI,RB,15,14,247,1070,8,59,46.2,80,4.3,71.3,16.5,68,54,438,8.1,2,25,55.9,28,3.6,29.2,79.4,6.4,301,5.0,1508,10,1,10,,David Montgomery,MontDa01
2021,24,CHI,RB,13,13,225,849,7,55,46.7,41,3.8,65.3,17.3,51,42,301,7.2,0,18,43.1,16,3.2,23.2,82.4,5.9,267,4.3,1150,7,1,6,,David Montgomery,MontDa01
2022,25,CHI,RB,16,16,201,801,5,41,44.8,28,4.0,50.1,12.6,40,34,316,9.3,1,10,50.0,32,2.1,19.8,85.0,7.9,235,4.8,1117,6,2,8,,David Montgomery,MontDa01
2023,26,DET,RB,14,14,219,1015,13,64,54.8,75,4.6,72.5,15.6,24,16,117,7.3,0,9,54.2,19,1.1,8.4,66.7,4.9,235,4.8,1132,13,2,9,,David Montgomery,MontDa01
2024,27,DET,RB,14,14,185,775,12,52,55.1,21,4.2,55.4,13.2,38,36,341,9.5,0,16,73.7,40,2.6,24.4,94.7,9.0,221,5.0,1116,12,2,10,,David Montgomery,MontDa01
2025,28,DET,RB,17,0,158,716,8,41,48.1,72,4.5,42.1,9.3,29,24,192,8.0,0,11,55.2,23,1.4,11.3,82.8,6.6,182,5.0,908,8,2,7,,David Montgomery,MontDa01
