Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2016,22,LAR,RB,30,16,16,742,74%,0,0%,0,0%,Todd Gurley,GurlTo01
2019,25,LAR,RB,30,15,15,787,74%,0,0%,0,0%,Todd Gurley,GurlTo01
2020,26,ATL,RB,21,15,15,507,49%,0,0%,0,0%,Todd Gurley,GurlTo01
