Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2020,23,NYJ,NFL,LCB,8,7,1,20,0,20,3,0,0,0,0,0,0.0,36,33,3,1,0,0,3,,Bryce Hall,HallBr02
2021,24,NYJ,NFL,LCB,17,17,0,0,0,0,16,0,0,0,0,0,0.5,79,66,13,4,2,0,5,,Bryce Hall,HallBr02
2022,25,NYJ,NFL,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,Bryce Hall,HallBr02
2023,26,NYJ,NFL,CB,9,2,1,5,0,5,2,0,0,1,39,1,0.0,7,5,2,0,0,0,2,,Bryce Hall,HallBr02
2024,27,TAM,NFL,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,Bryce Hall,HallBr02
