Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2017,22,JAX,RB,27,13,13,562,62%,0,0%,0,0%,Leonard Fournette,FourLe00
2018,23,JAX,RB,27,8,8,280,52%,0,0%,4,2%,Leonard Fournette,FourLe00
2019,24,JAX,RB,27,15,15,904,89%,0,0%,0,0%,Leonard Fournette,FourLe00
2020,25,TAM,RB,28,13,3,383,43%,0,0%,0,0%,Leonard Fournette,FourLe00
2021,26,TAM,RB,7,14,13,623,63%,0,0%,0,0%,Leonard Fournette,FourLe00
2022,27,TAM,RB,7,16,9,689,60%,0,0%,0,0%,Leonard Fournette,FourLe00
2023,28,BUF,RB,5,2,0,26,20%,0,0%,8,17%,Leonard Fournette,FourLe00
