Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2015,23,BAL,NFL,WR,6,1,6,2,18,9.0,0,1,16.7,17,0.3,3.0,33.3,3.0,0,0,0,0,,,,0.0,0.0,2,9.0,18,0,0,0,,Darren Waller,WallDa01
2016,24,BAL,NFL,WR,12,3,17,10,85,8.5,2,7,41.2,15,0.8,7.1,58.8,5.0,0,0,0,0,,,,0.0,0.0,10,8.5,85,2,0,1,,Darren Waller,WallDa01
2018,26,OAK,NFL,WR,4,0,6,6,75,12.5,0,4,83.3,44,1.5,18.8,100.0,12.5,1,21,0,1,100.0,21.0,21.0,5.3,0.3,7,13.7,96,0,0,1,,Darren Waller,WallDa01
2019,27,OAK,NFL,TE,16,16,117,90,1145,12.7,3,53,64.1,75,5.6,71.6,76.9,9.8,2,5,0,0,50.0,7.0,2.5,0.3,0.1,92,12.5,1150,3,1,8,,Darren Waller,WallDa01
2020,28,LVR,NFL,TE,16,15,145,107,1196,11.2,9,68,62.8,38,6.7,74.8,73.8,8.2,0,0,0,0,,,,0.0,0.0,107,11.2,1196,9,2,11,,Darren Waller,WallDa01
2021,29,LVR,NFL,TE,11,11,93,55,665,12.1,2,36,49.5,33,5.0,60.5,59.1,7.2,0,0,0,0,,,,0.0,0.0,55,12.1,665,2,0,5,,Darren Waller,WallDa01
2022,30,LVR,NFL,TE,9,6,43,28,388,13.9,3,18,46.5,34,3.1,43.1,65.1,9.0,0,0,0,0,,,,0.0,0.0,28,13.9,388,3,0,4,,Darren Waller,WallDa01
2023,31,NYG,NFL,TE,12,11,74,52,552,10.6,1,25,56.8,29,4.3,46.0,70.3,7.5,0,0,0,0,,,,0.0,0.0,52,10.6,552,1,0,4,,Darren Waller,WallDa01
2025,33,MIA,NFL,TE,9,3,34,24,283,11.8,6,19,64.7,34,2.7,31.4,70.6,8.3,1,4,0,1,100.0,4.0,4.0,0.4,0.1,25,11.5,287,6,0,3,,Darren Waller,WallDa01
