Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID
2018,23,CLE,RB,16,9,192,996,47,398,2.1,598,3.1,22,8.7,29,20,149,5,-32,-1.6,181,9.1,1.6,0,,3,10.3,0,104.0,,Nick Chubb,ChubNi00
2019,24,CLE,RB,16,16,298,1494,62,612,2.1,882,3.0,32,9.3,49,36,278,13,-40,-1.1,318,8.8,-0.6,8,4.5,4,8.2,0,86.9,PB,Nick Chubb,ChubNi00
2020,25,CLE,RB,12,12,190,1067,56,556,2.9,511,2.7,21,9.0,18,16,150,6,17,1.1,133,8.3,2.7,4,4.0,0,0.0,0,101.4,PB,Nick Chubb,ChubNi00
2021,26,CLE,RB,14,14,228,1259,61,567,2.5,692,3.0,23,9.9,25,20,174,9,2,0.1,172,8.6,1.0,4,5.0,0,0.0,0,109.0,PB,Nick Chubb,ChubNi00
2022,27,CLE,RB,17,17,302,1525,69,830,2.7,695,2.3,28,10.8,37,27,239,12,-20,-0.7,259,9.6,0.0,3,9.0,4,10.8,0,98.8,"PB,AP-2",Nick Chubb,ChubNi00
2023,28,CLE,RB,2,2,28,170,8,100,3.6,70,2.5,2,14.0,4,4,21,1,1,0.3,20,5.0,0.3,0,,0,0.0,0,88.5,,Nick Chubb,ChubNi00
2024,29,CLE,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,11,5,31,3,0,0.0,31,6.2,-0.5,0,,0,0.0,2,43.2,AP CPoY-8,Nick Chubb,ChubNi00
2025,30,HOU,RB,15,9,122,506,20,251,2.1,255,2.1,5,24.4,20,13,67,1,4,0.3,63,4.8,0.7,1,13.0,2,10.0,0,70.2,,Nick Chubb,ChubNi00
