Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2018,23,CLE,RB,24,16,9,395,36%,0,0%,106,23%,Nick Chubb,ChubNi00
2023,28,CLE,RB,24,2,2,54,34%,0,0%,0,0%,Nick Chubb,ChubNi00
2024,29,CLE,RB,24,8,8,235,40%,0,0%,0,0%,Nick Chubb,ChubNi00
2025,30,HOU,RB,21,15,9,326,32%,0,0%,0,0%,Nick Chubb,ChubNi00
