Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2017,22,DAL,RB,21,10,10,589,86%,0,0%,2,1%,Ezekiel Elliott,ElliEz00
2020,25,DAL,RB,21,15,15,789,73%,0,0%,0,0%,Ezekiel Elliott,ElliEz00
2021,26,DAL,RB,21,17,17,809,66%,0,0%,0,0%,Ezekiel Elliott,ElliEz00
2022,27,DAL,RB,21,15,14,558,55%,0,0%,0,0%,Ezekiel Elliott,ElliEz00
2023,28,NWE,RB,15,17,5,539,51%,0,0%,1,0%,Ezekiel Elliott,ElliEz00
2024,29,DAL,RB,15,15,2,258,25%,0,0%,0,0%,Ezekiel Elliott,ElliEz00
