Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2016,21,DAL,RB,15,15,322,1631,15,95,55.3,60,5.1,108.7,21.5,39,32,363,11.3,1,11,48.7,83,2.1,24.2,82.1,9.3,354,5.6,1994,16,5,16,"PB,AP-1,AP MVP-3,AP OPoY-5,AP ORoY-2",Ezekiel Elliott,ElliEz00
2017,22,DAL,RB,10,10,242,983,7,57,54.1,30,4.1,98.3,24.2,38,26,269,10.3,2,6,23.7,72,2.6,26.9,68.4,7.1,268,4.7,1252,9,1,9,,Ezekiel Elliott,ElliEz00
2018,23,DAL,RB,15,15,304,1434,6,74,49.0,41,4.7,95.6,20.3,95,77,567,7.4,3,22,41.1,38,5.1,37.8,81.1,6.0,381,5.3,2001,9,6,15,"PB,AP-2",Ezekiel Elliott,ElliEz00
2019,24,DAL,RB,16,16,301,1357,12,78,54.8,33,4.5,84.8,18.8,71,54,420,7.8,2,21,45.1,27,3.4,26.3,76.1,5.9,355,5.0,1777,14,3,11,PB,Ezekiel Elliott,ElliEz00
2020,25,DAL,RB,15,15,244,979,6,62,49.6,31,4.0,65.3,16.3,71,52,338,6.5,2,20,52.1,19,3.5,22.5,73.2,4.8,296,4.4,1317,8,6,7,,Ezekiel Elliott,ElliEz00
2021,26,DAL,RB,17,17,237,1002,10,59,51.5,47,4.2,58.9,13.9,65,47,287,6.1,2,17,38.5,21,2.8,16.9,72.3,4.4,284,4.5,1289,12,1,8,,Ezekiel Elliott,ElliEz00
2022,27,DAL,RB,15,14,231,876,12,55,47.6,27,3.8,58.4,15.4,23,17,92,5.4,0,4,39.1,31,1.1,6.1,73.9,4.0,248,3.9,968,12,0,6,,Ezekiel Elliott,ElliEz00
2023,28,NWE,RB,17,5,184,642,3,33,45.1,17,3.5,37.8,10.8,65,51,313,6.1,2,12,40.0,23,3.0,18.4,78.5,4.8,235,4.1,955,5,2,5,,Ezekiel Elliott,ElliEz00
2024,29,DAL,RB,15,2,74,226,3,14,43.2,11,3.1,15.1,4.9,15,12,69,5.8,0,3,46.7,15,0.8,4.6,80.0,4.6,86,3.4,295,3,1,2,,Ezekiel Elliott,ElliEz00
