Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2022,23,SFO,RB,24,16,0,82,,0,,246,,Jordan Mason,MasoJo00
2023,24,SFO,RB,24,17,0,99,,0,,248,,Jordan Mason,MasoJo00
2024,25,SFO,RB,24,12,6,378,,0,,27,,Jordan Mason,MasoJo00
2025,26,MIN,RB,27,14,4,382,,0,,1,,Jordan Mason,MasoJo00
