Model,MAE,RMSE,R2
MLP (tuned),18.971346083812247,27.19693497494222,0.271632000619053
LSTM (baseline MSE),21.4732,31.4857,0.1053
LSTM (huber only),20.5743,29.5129,0.2139
LSTM (tuned),,,
GRU  (tuned),,,
