Model,vs smoothed MAE,vs smoothed R2,vs raw MAE,vs raw R2
MLP Quantile q50,9.131,0.6945,19.283,0.3088
LSTM Improved,9.145,0.6958,19.455,0.3014
MLP Hybrid,9.162,0.6943,19.351,0.3083
RandomForest,9.219,0.6918,19.417,0.3075
XGBoost,9.296,0.6846,19.321,0.3089
GRU Improved,9.338,0.683,19.575,0.2931
ElasticNet,9.379,0.6833,19.535,0.2947
LightGBM,9.427,0.675,19.374,0.3042
