Model,Val MAE,Test MAE,Test RMSE,Test R2,Seconds
MLP Quantile q50,17.909,17.75,25.644,0.3069,506.1
RandomForest,18.129,17.853,25.172,0.3321,28.3
MLP Hybrid (Huber),18.248,18.033,25.369,0.3217,525.5
XGBoost,18.165,18.093,25.498,0.3148,8.9
ElasticNet,18.335,18.103,25.416,0.3192,0.8
LightGBM,18.203,18.11,25.659,0.3061,14.4
BiGRU + Attention + Embed,18.316,18.162,25.531,0.3181,697.8
BiLSTM + Attention + Embed,18.403,18.267,25.67,0.3107,804.8
